"Type","Sentence","item","meanrating","numbofpeople","sd","SE","z-score"
"PlauNPZ","Because the suspect changed%2C the file deserved further investigation during the jury discussions.",1,5,8,2,0.707106781186547,0.260213085018494
"SingNPZZ","If the supervisor changes%2C the schedule deserves further inspection by the rest of the staff.",1,4.69230769230769,13,1.75045781557356,0.48548964689132,0.411268916620744
"PluralNPZZ","If the supervisor changes%2C the schedules deserve further inspection by the rest of the staff.",1,5.35294117647059,17,1.36661884182223,0.331453754987784,0.446007746880476
"PlauNPS","The suspect showed that the file deserved further investigation during the murder trial.",1,6.3,10,0.823272602348565,0.260341655863555,0.915890869257956
"PlauMVRR","The suspect who was sent the file deserved further investigation given the new evidence.",1,4.92307692307692,13,1.93483584409369,0.536626911191188,0.336783168640055
"PlauNPZ","After the corrupt politician signed%2C the bill received unwelcome attention from southern voters.",2,6.42857142857143,7,0.786795792469443,0.29738085706659,1.17289572015039
"PlauNPS","The corrupt politician mentioned that the bill received unwelcome attention from southern voters.",2,5.8,10,1.87379590967403,0.592546294487706,0.769765731645104
"PlauMVRR","The corrupt politician who was handed the bill received unwelcome attention from southern voters.",2,5.71428571428571,14,1.13872880735639,0.304338075255522,0.663483820893984
"PlauNPZ","After the woman moved%2C the mail disappeared mysteriously from the delivery system.",3,5.53846153846154,13,1.26592420885458,0.351104203528953,0.495022224574957
"PlauNPS","The woman maintained that the mail disappeared mysteriously from her front porch.",3,5.11111111111111,9,2.42097317438899,0.806991058129664,0.405610654013207
"PlauMVRR","The woman who was brought the mail disappeared mysteriously after reading the bad news in it.",3,4.14285714285714,7,1.95180014589707,0.737711113563318,0.109319200078481
"SingNPZZ","When the magician moves%2C the card disappears mysteriously from his assistant's hand.",3,6.71428571428571,7,0.487950036474267,0.184427778390829,0.961509760974902
"PluralNPZZ","When the magician moves%2C the cards disappear mysteriously from his assistant's hand.",3,6.42857142857143,7,1.13389341902768,0.428571428571429,1.0090773290154
"PlauNPZ","Although the boy attacked%2C the chicken stayed surprisingly happy as if nothing happened.",4,4.77777777777778,9,1.7873008824606,0.5957669608202,0.0391010153944537
"PlauNPS","The boy found that the chicken stayed surprisingly happy in the new barn.",4,6.55555555555556,9,0.52704627669473,0.175682092231577,0.983778118497938
"PlauMVRR","The boy who was fed the chicken stayed surprisingly happy despite having a mild allergic reaction.",4,5.28571428571429,14,1.72887564301513,0.462061451464366,0.480376171439773
"PlauNPZ","After the new doctor left%2C the operation appeared increasingly likely to succeed.",5,5.61538461538461,13,1.60926802918084,0.4463306457828,0.537184932380379
"PlauNPS","The new doctor demonstrated that the operation appeared increasingly likely to succeed.",5,5.9,10,1.59513148186739,0.504424865014052,0.742259007963862
"PlauMVRR","The new doctor who was offered the operation appeared increasingly likely to succeed in her career.",5,5.66666666666667,6,1.50554530541816,0.614636297152859,0.618644241705477
"SingNPZZ","Whenever the lawyer leaves%2C his client appears increasingly uncomfortable in the courtroom.",5,6.6,10,0.516397779494322,0.163299316185545,1.077589422607
"PluralNPZZ","Whenever the lawyer leaves%2C his clients appear increasingly uncomfortable in the courtroom.",5,6.5,8,0.534522483824849,0.188982236504614,0.986888294328184
"SingNPZZ","After the esteemed reviewer reads%2C the book gains more attention due to his glowing praise.",6,4.35714285714286,14,1.78054195972172,0.475869855432409,0.114908689040378
"PluralNPZZ","After the esteemed reviewer reads%2C the books gain more attention due to his glowing praise.",6,4.61111111111111,18,2.19997029094616,0.518537970378992,-0.0203319316647614
"PlauNPZ","After the professor read%2C the grant gained more attention due to her excellent description.",6,2.9,10,1.59513148186739,0.504424865014052,-0.562924336635704
"PlauNPS","The professor noticed that the grant gained more attention from marine biologists.",6,5.3,10,1.82878222991269,0.578311719096582,0.530110355913096
"PlauMVRR","The professor who was awarded the grant gained more attention from marine biologists.",6,6.41176470588235,17,0.712287119900726,0.172755001830452,0.809007654206675
"PlauNPZ","After the technician called%2C the service stopped working almost immediately to his surprise.",7,4.84615384615385,13,1.86396324383261,0.516970388555281,0.282355468457582
"PlauNPS","The technician reported that the service stopped working almost immediately after the storm started.",7,6.66666666666667,6,0.816496580927726,0.333333333333333,1.23286361834551
"PlauMVRR","The technician who was refused the service stopped working almost immediately after the argument.",7,5.46666666666667,15,1.12546286774228,0.290593262902712,0.379781605636568
"SingNPZZ","Whenever the nurse calls%2C the doctor stops working immediately to check on the patient.",7,6.77777777777778,9,0.440958551844098,0.146986183948033,1.15028579484642
"PluralNPZZ","Whenever the nurse calls%2C the doctors stop working immediately to check on the patient.",7,6.5,6,0.547722557505166,0.223606797749979,0.809420016443332
"PlauNPZ","Because the mechanic stopped%2C the truck needed several more hours before it could be fully repaired.",8,5.90909090909091,11,1.13618180363404,0.342571703298487,0.791317491936214
"PlauNPS","The mechanic observed that the truck needed several more hours to be repaired.",8,6.52941176470588,17,0.717430053979439,0.174002346561753,0.877676663543066
"PlauMVRR","The mechanic who was brought the truck needed several more hours to fully repair it.",8,4.5,6,2.07364413533277,0.84656167328002,0.269790497199849
"SingNPZZ","When the lecturer stops%2C her audience needs several minutes to reflect on the content.",8,6.1,10,1.91195071996,0.604611904907235,0.839350611889602
"PluralNPZZ","When the lecturer stops%2C her audiences need several minutes to reflect on the content.",8,6.16666666666667,6,0.752772652709081,0.30731814857643,0.974073377563721
"PlauNPZ","After the guitarist began%2C the song failed dramatically because he skipped the sound check.",9,5.46153846153846,13,1.6132464481796,0.44743406068244,0.545515250873869
"PlauNPS","The guitarist knew that the song failed dramatically because of the tensions within the band.",9,5.4,10,1.89736659610103,0.6,0.595536273259294
"PlauMVRR","The guitarist who was assigned the song failed dramatically because he never practiced enough.",9,6.375,8,0.744023809142845,0.263052140404576,0.935383323151394
"SingNPZZ","When the actress begins%2C the scene fails dramatically despite the months she spent rehearsing.",9,5,13,1.68325082306035,0.466849780923926,0.281331986845694
"PluralNPZZ","When the actress begins%2C the scenes fail dramatically despite the months she spent rehearsing.",9,5.14285714285714,7,1.4638501094228,0.553283335172488,0.487876816095785
"SingNPZZ","After the worst team loses%2C the tournament remains essentially the same for the rest of the year.",10,4.7,10,1.41813649241218,0.448454134902457,0.171353738867648
"PluralNPZZ","After the worst team loses%2C the tournaments remain essentially the same for the rest of the year.",10,5.4,15,1.54919333848297,0.4,0.502523034177876
"PlauNPZ","Although the player lost%2C the bonus remained essentially the same as in the original contract.",10,4.875,8,1.95940953204931,0.692755883616815,0.474104581019062
"PlauNPS","The player revealed that the bonus remained essentially the same as in the original contract.",10,6.66666666666667,9,0.5,0.166666666666667,0.970164478695753
"PlauMVRR","The player who was paid the bonus remained essentially the same despite his sudden fame and wealth.",10,5.33333333333333,12,1.82574185835055,0.52704627669473,0.574674675290073
"PlauNPZ","Once the recent hire started%2C the job prepared many students for careers in media.",11,4.66666666666667,12,2.05971460217775,0.594588390010563,0.213782220942905
"PlauNPS","The recent hire claimed that the job prepared many students for careers in media.",11,6,10,0.816496580927726,0.258198889747161,0.985791141737952
"PlauMVRR","The recent hire who was offered the job prepared many students for careers in media.",11,5.27272727272727,11,1.1037127426019,0.332781913049511,0.475999487788025
"PlauNPS","The assistant manager discovered that the training seemed unnecessarily demanding for new staff.",12,6.7,10,0.483045891539648,0.152752523165195,1.07582115162546
"PlauMVRR","The assistant manager who was assigned the training seemed unnecessarily demanding to new staff.",12,6.57142857142857,7,0.786795792469443,0.29738085706659,1.10176225348553
"SingNPZZ","When the supervisor works%2C the shift seems unnecessarily stressful on a Friday night.",12,6.1,10,1.19721899973786,0.378593889720018,0.824212338478317
"PluralNPZZ","When the supervisor works%2C the shifts seem unnecessarily stressful on a Friday night.",12,5.5,14,1.60527975036225,0.429029059698681,0.560276150283148
