Item,condition,Sentence,Response,part of speech,interpretation,note
101,MVR,+ + + The suspect sent the file ...,to,PP,main verb,
101,MVR,+ + + The suspect sent the file ...,quickly,adv,ambig,
101,MVR,+ + + The suspect sent the file ...,to the lawyer,PP,main verb,
101,MVR,+ + + The suspect sent the file ...,immediatly,adv,ambig,
101,MVR,+ + + The suspect sent the file ...,to the cops,PP,main verb,
101,MVR,+ + + The suspect sent the file ...,late,adv,ambig,
101,MVR,+ + + The suspect sent the file ...,over,adv,ambig,
101,MVR,+ + + The suspect sent the file ...,to the,PP,main verb,
101,MVR,+ + + The suspect sent the file ...,illegally,adv,ambig,
101,MVR,+ + + The suspect sent the file ...,from,PP,ambig,
101,MVR,+ + + The suspect sent the file ...,away,adv,main verb,
101,MVR,+ + + The suspect sent the file ...,file,ungram,NA,
101,MVR,+ + + The suspect sent the file ...,anonymously,adv,ambig,
101,MVR,+ + + The suspect sent the file ...,to the detective,PP,main verb,
101,MVR,+ + + The suspect sent the file ...,to the police,PP,main verb,
101,MVR,+ + + The suspect sent the file ...,upstate,adv,main verb,
101,MVR,+ + + The suspect sent the file ...,evidence,ungram,NA,
101,MVR,+ + + The suspect sent the file ...,home,adv,main verb,
101,MVR,+ + + The suspect sent the file ...,sent,VP,reduced relative,amb
101,MVR,+ + + The suspect sent the file ...,covertly,adv,ambig,
101,MVR,+ + + The suspect sent the file ...,online,adv,main verb,
101,MVR,+ + + The suspect sent the file ...,yesterday,adv,ambig,
101,MVR,+ + + The suspect sent the file ...,carefully,adv,ambig,
102,MVR,+ + + The corrupt politician handed the bill ...,bill,ungram,NA,
102,MVR,+ + + The corrupt politician handed the bill ...,to the governer,PP,main verb,
102,MVR,+ + + The corrupt politician handed the bill ...,to,PP,main verb,
102,MVR,+ + + The corrupt politician handed the bill ...,over,adv,main verb,
102,MVR,+ + + The corrupt politician handed the bill ...,sneakily,adv,ambig,
102,MVR,+ + + The corrupt politician handed the bill ...,to his lawyer,PP,main verb,
102,MVR,+ + + The corrupt politician handed the bill ...,to the lawyer,PP,main verb,
102,MVR,+ + + The corrupt politician handed the bill ...,to the house,PP,main verb,
102,MVR,+ + + The corrupt politician handed the bill ...,without remorse,PP,main verb,
102,MVR,+ + + The corrupt politician handed the bill ...,to the owner,PP,main verb,
102,MVR,+ + + The corrupt politician handed the bill ...,notes,compound,ambig,
102,MVR,+ + + The corrupt politician handed the bill ...,securely,adv,ambig,
102,MVR,+ + + The corrupt politician handed the bill ...,note,compound,ambig,
102,MVR,+ + + The corrupt politician handed the bill ...,falisfyingly,adv,ambig,
102,MVR,+ + + The corrupt politician handed the bill ...,in the office,PP,ambig,
103,MVR,+ + + The woman brought the mail ...,in,PP,main verb,
103,MVR,+ + + The woman brought the mail ...,with,PP,main verb,
103,MVR,+ + + The woman brought the mail ...,inside,adv,main verb,
103,MVR,+ + + The woman brought the mail ...,to,PP,main verb,
103,MVR,+ + + The woman brought the mail ...,from,PP,main verb,
103,MVR,+ + + The woman brought the mail ...,back,adv,main verb,
103,MVR,+ + + The woman brought the mail ...,to her neighbor,PP,main verb,
103,MVR,+ + + The woman brought the mail ...,letter,compound,ambig,
103,MVR,+ + + The woman brought the mail ...,box,compound,ambig,
103,MVR,+ + + The woman brought the mail ...,in the house,PP,main verb,
103,MVR,+ + + The woman brought the mail ...,home,adv,main verb,
