,item,Main clause subject number,condition,disambPosition,Sentence,Question,Option1,Option0,Correct answer,Question target,disambPosition_0idx,token,word,word_pos,logfreq,logfreq_s,length,length_s
0,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,If,If,0,12.528579967917016,0.4386559584025571,2,-1.2092210391383649
1,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,the,the,1,15.687451186819413,1.396106504820095,3,-0.8352420354837095
2,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,supervisor,supervisor,2,6.799055862058796,-1.2979567762478033,10,1.7826109900988767
3,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,"changes.,","changes,",3,9.742379392141371,-0.4058385077669659,8,1.0346529827895663
4,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
5,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,schedules,schedules,5,6.982862751468942,-1.242245101252011,9,1.4086319864442216
6,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,deserves,deserves,6,7.379008127628304,-1.1221738540941883,8,1.0346529827895663
7,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,further,further,7,9.655026193237628,-0.432315170544871,7,0.6606739791349112
8,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,inspection,inspection,8,7.109879463072272,-1.203746469461943,10,1.7826109900988767
9,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,by,by,9,13.154086825400125,0.6282464294864692,2,-1.2092210391383649
10,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,the,the,10,15.687451186819413,1.396106504820095,3,-0.8352420354837095
11,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,rest,rest,11,9.919705330558962,-0.3520912022054185,4,-0.4612630318290542
12,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,of,of,12,14.959542893887448,1.1754782662774268,2,-1.2092210391383649
13,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,the,the,13,15.687451186819413,1.396106504820095,3,-0.8352420354837095
14,1,plural,UNAGREE,7,"If the supervisor changes, the schedules deserves further inspection by the rest of the staff.",Do the schedules ever deserve closer inspection?,Yes,No,1,Main clause,7,staff..,staff.,14,9.469854424600042,-0.4884405389999871,6,0.2866949754802561
15,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,If,If,0,12.528579967917016,0.4386559584025571,2,-1.2092210391383649
16,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,the,the,1,15.687451186819413,1.396106504820095,3,-0.8352420354837095
17,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,supervisor,supervisor,2,6.799055862058796,-1.2979567762478033,10,1.7826109900988767
18,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,"changes.,","changes,",3,9.742379392141371,-0.4058385077669659,8,1.0346529827895663
19,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
20,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,schedule,schedule,5,8.516793111394898,-0.7773124213474883,8,1.0346529827895663
21,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,deserves,deserves,6,7.379008127628304,-1.1221738540941883,8,1.0346529827895663
22,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,further,further,7,9.655026193237628,-0.432315170544871,7,0.6606739791349112
23,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,inspection,inspection,8,7.109879463072272,-1.203746469461943,10,1.7826109900988767
24,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,by,by,9,13.154086825400125,0.6282464294864692,2,-1.2092210391383649
25,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,the,the,10,15.687451186819413,1.396106504820095,3,-0.8352420354837095
26,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,rest,rest,11,9.919705330558962,-0.3520912022054185,4,-0.4612630318290542
27,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,of,of,12,14.959542893887448,1.1754782662774268,2,-1.2092210391383649
28,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,the,the,13,15.687451186819413,1.396106504820095,3,-0.8352420354837095
29,1,singular,AGREE,7,"If the supervisor changes, the schedule deserves further inspection by the rest of the staff.",Does the schedule ever deserve closer inspection?,Yes,No,1,Main clause,7,staff..,staff.,14,9.469854424600042,-0.4884405389999871,6,0.2866949754802561
30,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,When,When,0,12.61473928991416,0.464770758344858,4,-0.4612630318290542
31,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,the,the,1,15.687451186819413,1.396106504820095,3,-0.8352420354837095
32,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,magician,magician,2,5.5053315359323625,-1.690083259768652,8,1.0346529827895663
33,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,"moves.,","moves,",3,8.878636747430072,-0.6676379955695472,6,0.2866949754802561
34,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
35,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,cards,cards,5,8.795127912413138,-0.6929494356938576,5,-0.087284028174399
36,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,disappears,disappears,6,6.70196036600254,-1.3273863190533015,10,1.7826109900988767
37,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,mysteriously,mysteriously,7,6.003887067106539,-1.5389716022607969,12,2.530568997408188
38,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,from,from,8,13.161822523668638,0.630591111501295,4,-0.4612630318290542
39,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,his,his,9,13.034853694462726,0.5921069928155588,3,-0.8352420354837095
40,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,assistant.s,assistant's,10,,,11,2.156589993753532
41,3,plural,UNAGREE,7,"When the magician moves, the cards disappears mysteriously from his assistant's hand.",Do the cards ever disappear?,Yes,No,1,Main clause,7,hand..,hand.,11,10.282060965175976,-0.2422615901954413,5,-0.087284028174399
42,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant's hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,When,When,0,12.61473928991416,0.464770758344858,4,-0.4612630318290542
43,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant's hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,the,the,1,15.687451186819413,1.396106504820095,3,-0.8352420354837095
44,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant's hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,magician,magician,2,5.5053315359323625,-1.690083259768652,8,1.0346529827895663
45,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant's hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,"moves.,","moves,",3,8.878636747430072,-0.6676379955695472,6,0.2866949754802561
46,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant's hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
47,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant's hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,card,card,5,9.097955241381392,-0.6011627905606749,4,-0.4612630318290542
48,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant's hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,disappears,disappears,6,6.70196036600254,-1.3273863190533015,10,1.7826109900988767
49,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant's hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,mysteriously,mysteriously,7,6.003887067106539,-1.5389716022607969,12,2.530568997408188
50,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant's hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,from,from,8,13.161822523668638,0.630591111501295,4,-0.4612630318290542
51,3,singular,AGREE,7,"When the magician moves, the card disappears mysteriously from his assistant's hand.",Does the card ever disappear?,Yes,No,1,Main clause,7,his,his,9,13.034853694462726,0.5921069928155588,3,-0.8352420354837095
