,item,condition,targetPosition,Sentence,Option1,Option0,Ans,token,word,word_pos,logfreq,logfreq_s,length,length_s
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
1,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,bus,bus,1,8.389814262086407,-0.8157995771157849,3,-0.8352420354837095
2,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,driver,driver,2,8.810161268297255,-0.6883928413257152,6,0.2866949754802561
3,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,who,who,3,12.587907409973832,0.4566380437357446,3,-0.8352420354837095
4,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,followed,followed,4,9.325720523016257,-0.5321273730826497,8,1.0346529827895663
5,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,the,the,5,15.687451186819413,1.396106504820095,3,-0.8352420354837095
6,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,kids,kids,6,10.482065278352938,-0.1816404930797178,4,-0.4612630318290542
7,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,wondered,wondered,7,7.894318063841624,-0.9659839540281564,8,1.0346529827895663
8,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,about,about,8,12.600500398855342,0.4604549654302672,5,-0.087284028174399
9,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,the,the,9,15.687451186819413,1.396106504820095,3,-0.8352420354837095
10,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,location,location,10,8.849944227235596,-0.676334668284126,8,1.0346529827895663
11,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,of,of,11,14.959542893887448,1.1754782662774268,2,-1.2092210391383649
12,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,a,a,12,14.90068259642208,1.1576377719789293,1,-1.5832000427930195
13,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,The bus driver,The kids,0,hotel..,hotel.,13,9.29090601981575,-0.5426796124120395,6,0.2866949754802561
14,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
15,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,bus,bus,1,8.389814262086407,-0.8157995771157849,3,-0.8352420354837095
16,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,driver,driver,2,8.810161268297255,-0.6883928413257152,6,0.2866949754802561
17,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,who,who,3,12.587907409973832,0.4566380437357446,3,-0.8352420354837095
18,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
19,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,kids,kids,5,10.482065278352938,-0.1816404930797178,4,-0.4612630318290542
20,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,followed,followed,6,9.325720523016257,-0.5321273730826497,8,1.0346529827895663
21,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,wondered,wondered,7,7.894318063841624,-0.9659839540281564,8,1.0346529827895663
22,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,about,about,8,12.600500398855342,0.4604549654302672,5,-0.087284028174399
23,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,the,the,9,15.687451186819413,1.396106504820095,3,-0.8352420354837095
24,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,location,location,10,8.849944227235596,-0.676334668284126,8,1.0346529827895663
25,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,of,of,11,14.959542893887448,1.1754782662774268,2,-1.2092210391383649
26,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,a,a,12,14.90068259642208,1.1576377719789293,1,-1.5832000427930195
27,25,RC_Obj,7,The bus driver who the kids followed wondered about the location of a hotel.,The bus driver,The kids,1,hotel..,hotel.,13,9.29090601981575,-0.5426796124120395,6,0.2866949754802561
28,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
29,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,chef,chef,1,8.03365842788615,-0.9237500361355472,4,-0.4612630318290542
30,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,who,who,2,12.587907409973832,0.4566380437357446,3,-0.8352420354837095
31,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,distracted,distracted,3,6.706862336602747,-1.32590053691644,10,1.7826109900988767
32,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
33,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,camer.aman,cameraman,5,5.1298987149230735,-1.8038765532297645,9,1.4086319864442216
34,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,poured,poured,6,7.350516171833998,-1.1308097359498726,6,0.2866949754802561
35,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,the,the,7,15.687451186819413,1.396106504820095,3,-0.8352420354837095
36,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,flour,flour,8,8.757311846936409,-0.7044114453944735,5,-0.087284028174399
37,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,onto,onto,9,9.512738628263644,-0.4754423819416364,4,-0.4612630318290542
38,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,the,the,10,15.687451186819413,1.396106504820095,3,-0.8352420354837095
39,26,RC_Subj,4,The chef who distracted the cameraman poured the flour onto the counter.,The chef,The cameraman,0,counter..,counter.,11,8.057060681965766,-0.9166568375202157,8,1.0346529827895663
40,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
41,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,chef,chef,1,8.03365842788615,-0.9237500361355472,4,-0.4612630318290542
42,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,who,who,2,12.587907409973832,0.4566380437357446,3,-0.8352420354837095
43,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,the,the,3,15.687451186819413,1.396106504820095,3,-0.8352420354837095
44,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,camer.aman,cameraman,4,5.1298987149230735,-1.8038765532297645,9,1.4086319864442216
45,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,distracted,distracted,5,6.706862336602747,-1.32590053691644,10,1.7826109900988767
