,item,condition,disambPositionAmb,disambPositionUnamb,ambiguity,Sentence,disambPosition_0idx,token,word,word_pos,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,suspect,suspect,1,9.206391334533691,13.282015122814883,9.206391334533691,13.282015122814883
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,showed,showed,2,8.865823745727539,12.790679951356735,8.865823745727539,12.790679951356735
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,the,the,3,3.6704087257385254,5.29528046665855,3.6704087257385254,5.29528046665855
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,file,file,4,8.416703224182129,12.142736002161707,8.416703224182129,12.142736002161707
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,deserved,deserved,5,14.710853576660156,21.22327550229128,14.710853576660156,21.22327550229128
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,further,further,6,6.412744522094727,9.251634720513929,6.412744522094727,9.251634720513929
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,investigation,investigation,7,0.3893442451953888,0.561705011742044,0.3893442451953888,0.561705011742044
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,during,during,8,6.720826625823975,9.696103243750754,6.720826625823975,9.696103243750754
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,the,the,9,1.4914435148239136,2.1516981626024654,1.4914435148239136,2.1516981626024654
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,murder,murder,10,5.217938423156738,7.527893886752204,5.217938423156738,7.527893886752204
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,trial..,trial.,11,3.386078715324402,4.885078970658187,1.693039357662201,2.4425394853290934
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,Because,Because,0,11.421760559082031,16.478117316808802,11.421760559082031,16.478117316808802
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,the,the,1,2.4680769443511963,3.560682368147857,2.4680769443511963,3.560682368147857
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,suspect,suspect,2,9.376293182373047,13.527131676130592,9.376293182373047,13.527131676130592
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,changed,changed,3,8.266118049621582,11.925487517591806,8.266118049621582,11.925487517591806
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,the,the,4,1.5606293678283691,2.2515122496316664,1.5606293678283691,2.2515122496316664
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,file,file,5,7.116676330566406,10.26719364972002,7.116676330566406,10.26719364972002
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,deserved,deserved,6,16.477436065673828,23.771915298512585,16.477436065673828,23.771915298512585
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,further,further,7,7.326587677001953,10.570031708248909,7.326587677001953,10.570031708248909
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,investigation,investigation,8,0.4012201428413391,0.5788383103819615,0.4012201428413391,0.5788383103819615
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,during,during,9,7.622992515563965,10.997653498937817,7.622992515563965,10.997653498937817
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,the,the,10,0.8983500599861145,1.2960451765242702,0.8983500599861145,1.2960451765242702
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,jury,jury,11,9.207964897155762,13.284285293806272,9.207964897155762,13.284285293806272
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,discussions..,discussions.,12,11.004159212112427,15.8756459244672,5.502079606056213,7.9378229622336
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,suspect,suspect,1,9.206391334533691,13.282015122814883,9.206391334533691,13.282015122814883
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,sent,sent,2,8.614465713500977,12.428046964775865,8.614465713500977,12.428046964775865
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,the,the,3,1.9874897003173828,2.86734153446578,1.9874897003173828,2.86734153446578
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,file,file,4,7.126243591308594,10.280996289347666,7.126243591308594,10.280996289347666
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,deserved,deserved,5,14.461333274841309,20.86329380025611,14.461333274841309,20.86329380025611
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,further,further,6,8.406418800354004,12.12789871490647,8.406418800354004,12.12789871490647
