,item,condition,targetPosition,Sentence,Unnamed: 4,Option1,Option0,Ans,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,token,word,word_pos,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,bus,bus,1,9.046318054199219,13.05107819509751,9.046318054199219,13.05107819509751
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,driver,driver,2,2.5036308765411377,3.611975849802388,2.5036308765411377,3.611975849802388
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,who,who,3,1.9423600435256958,2.8022332024153926,1.9423600435256958,2.8022332024153926
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,followed,followed,4,7.746836185455322,11.176322147335569,7.746836185455322,11.176322147335569
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,the,the,5,1.4732468128204346,2.125445870861512,1.4732468128204346,2.125445870861512
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,kids,kids,6,7.153716087341309,10.320630723134904,7.153716087341309,10.320630723134904
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,wondered,wondered,7,12.80593204498291,18.475054655257907,12.80593204498291,18.475054655257907
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,about,about,8,3.7743711471557617,5.445266536476005,3.7743711471557617,5.445266536476005
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,the,the,9,1.477294683456421,2.1312857137542096,1.477294683456421,2.1312857137542096
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,location,location,10,6.0851240158081055,8.778978240800688,6.0851240158081055,8.778978240800688
0,25,RC_Subj,5,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver,The kids,0,RC-Gap,1.0,,,,,,of,of,11,0.3029051125049591,0.43699970367081803,0.3029051125049591,0.43699970367081803
