,item#_in_Provo,item,Sentence,Question,Option1,Option0,Correct answer,token,word,word_pos,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,There,There,0,9.846614837646484,14.205662395816269,9.846614837646484,14.205662395816269
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,are,are,1,1.1446655988693237,1.6514033829649688,1.1446655988693237,1.6514033829649688
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,now,now,2,4.184131622314453,6.036425941939755,4.184131622314453,6.036425941939755
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,r.umb.lings,rumblings,3,10.744287366513163,15.500730101554481,3.581429122171054,5.166910033851494
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,that,that,4,0.6118332147598267,0.8826887447851541,0.6118332147598267,0.8826887447851541
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,Apple,Apple,5,4.26019811630249,6.146166695594106,4.26019811630249,6.146166695594106
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,might,might,6,2.733704090118408,3.9439013340717035,2.733704090118408,3.9439013340717035
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,soon,soon,7,3.1578664779663086,4.5558383075514906,3.1578664779663086,4.5558383075514906
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,invade,invade,8,10.403324127197266,15.008824127068,10.403324127197266,15.008824127068
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,the,the,9,0.8481646180152893,1.2236428882681398,0.8481646180152893,1.2236428882681398
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,smart,smart,10,6.580760955810547,9.494031196223592,6.580760955810547,9.494031196223592
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,watch,watch,11,4.198535919189453,6.05720694960881,4.198535919189453,6.05720694960881
