,item,Sentence,token,word,word_pos,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2
0,1,The suspect showed the file .,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
0,1,The suspect showed the file .,suspect,suspect,1,9.20638656616211,13.282008243508848,9.20638656616211,13.282008243508848
0,1,The suspect showed the file .,showed,showed,2,8.865823745727539,12.790679951356735,8.865823745727539,12.790679951356735
0,1,The suspect showed the file .,the,the,3,3.670410633087158,5.295283218380964,3.670410633087158,5.295283218380964
0,1,The suspect showed the file .,file,file,4,8.416695594787598,12.142724995272053,8.416695594787598,12.142724995272053
0,1,The suspect showed the file .,.,.,5,9.1423978805542,13.189692084109314,9.1423978805542,13.189692084109314
1,1,The suspect changed the file .,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
1,1,The suspect changed the file .,suspect,suspect,1,9.20638656616211,13.282008243508848,9.20638656616211,13.282008243508848
1,1,The suspect changed the file .,changed,changed,2,9.988092422485352,14.40977140586025,9.988092422485352,14.40977140586025
1,1,The suspect changed the file .,the,the,3,1.5254042148590088,2.200693096128215,1.5254042148590088,2.200693096128215
1,1,The suspect changed the file .,file,file,4,7.545005798339844,10.885142448743368,7.545005798339844,10.885142448743368
1,1,The suspect changed the file .,.,.,5,9.410575866699219,13.576591134796322,9.410575866699219,13.576591134796322
2,1,The suspect sent the file .,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
2,1,The suspect sent the file .,suspect,suspect,1,9.20638656616211,13.282008243508848,9.20638656616211,13.282008243508848
2,1,The suspect sent the file .,sent,sent,2,8.614473342895508,12.42805797166552,8.614473342895508,12.42805797166552
2,1,The suspect sent the file .,the,the,3,1.9874951839447021,2.86734944566772,1.9874951839447021,2.86734944566772
2,1,The suspect sent the file .,file,file,4,7.1262288093566895,10.28097496349896,7.1262288093566895,10.28097496349896
2,1,The suspect sent the file .,.,.,5,9.793981552124023,14.129728615807322,9.793981552124023,14.129728615807322
3,2,The corrupt politician mentioned the bill .,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
3,2,The corrupt politician mentioned the bill .,corrupt,corrupt,1,10.824807167053223,15.616895618486994,10.824807167053223,15.616895618486994
3,2,The corrupt politician mentioned the bill .,politician,politician,2,5.956948280334473,8.594059742870582,5.956948280334473,8.594059742870582
3,2,The corrupt politician mentioned the bill .,mentioned,mentioned,3,9.117837905883789,13.154259530447954,9.117837905883789,13.154259530447954
3,2,The corrupt politician mentioned the bill .,the,the,4,4.231217861175537,6.104357025238754,4.231217861175537,6.104357025238754
3,2,The corrupt politician mentioned the bill .,bill,bill,5,6.275603294372559,9.053781751377732,6.275603294372559,9.053781751377732
3,2,The corrupt politician mentioned the bill .,.,.,6,7.924409866333008,11.432506816130203,7.924409866333008,11.432506816130203
4,2,The corrupt politician signed the bill .,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
4,2,The corrupt politician signed the bill .,corrupt,corrupt,1,10.824807167053223,15.616895618486994,10.824807167053223,15.616895618486994
4,2,The corrupt politician signed the bill .,politician,politician,2,5.956948280334473,8.594059742870582,5.956948280334473,8.594059742870582
4,2,The corrupt politician signed the bill .,signed,signed,3,8.678789138793945,12.520846051459023,8.678789138793945,12.520846051459023
4,2,The corrupt politician signed the bill .,the,the,4,2.3764476776123047,3.428489279423366,2.3764476776123047,3.428489279423366
4,2,The corrupt politician signed the bill .,bill,bill,5,2.6485557556152344,3.82105825414402,2.6485557556152344,3.82105825414402
4,2,The corrupt politician signed the bill .,.,.,6,9.179481506347656,13.243192447139716,9.179481506347656,13.243192447139716
5,2,The corrupt politician handed the bill .,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
5,2,The corrupt politician handed the bill .,corrupt,corrupt,1,10.824807167053223,15.616895618486994,10.824807167053223,15.616895618486994
5,2,The corrupt politician handed the bill .,politician,politician,2,5.956948280334473,8.594059742870582,5.956948280334473,8.594059742870582
5,2,The corrupt politician handed the bill .,handed,handed,3,8.685914993286133,12.531126486396998,8.685914993286133,12.531126486396998
5,2,The corrupt politician handed the bill .,the,the,4,2.529542922973633,3.6493590306898334,2.529542922973633,3.6493590306898334
5,2,The corrupt politician handed the bill .,bill,bill,5,4.857691287994385,7.008167131359021,4.857691287994385,7.008167131359021
5,2,The corrupt politician handed the bill .,.,.,6,10.533615112304688,15.196794285155015,10.533615112304688,15.196794285155015
6,3,The woman maintained the mail .,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
6,3,The woman maintained the mail .,woman,woman,1,7.634151935577393,11.013753138850387,7.634151935577393,11.013753138850387
6,3,The woman maintained the mail .,maintained,maintained,2,11.68727970123291,16.861180466450968,11.68727970123291,16.861180466450968
6,3,The woman maintained the mail .,the,the,3,2.81974458694458,4.068031532158444,2.81974458694458,4.068031532158444
6,3,The woman maintained the mail .,mail,mail,4,10.971455574035645,15.8284645479948,10.971455574035645,15.8284645479948
6,3,The woman maintained the mail .,.,.,5,10.30687141418457,14.869672276324298,10.30687141418457,14.869672276324298
7,3,The woman moved the mail .,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
