,triplet#,Sentence,sum_surprisal,mean_surprisal,token,word,word_pos
0,1,The suspect showed the file .,5.1062774658203125,5.1062774658203125,The,The,0
0,1,The suspect showed the file .,13.296472549438477,13.296472549438477,suspect,suspect,1
0,1,The suspect showed the file .,7.721066474914551,7.721066474914551,showed,showed,2
0,1,The suspect showed the file .,2.2806077003479004,2.2806077003479004,the,the,3
0,1,The suspect showed the file .,10.054450988769531,10.054450988769531,file,file,4
0,1,The suspect showed the file .,2.7438836097717285,2.7438836097717285,.,.,5
1,1,The suspect changed the file .,5.1062774658203125,5.1062774658203125,The,The,0
1,1,The suspect changed the file .,13.296472549438477,13.296472549438477,suspect,suspect,1
1,1,The suspect changed the file .,8.941363334655762,8.941363334655762,changed,changed,2
1,1,The suspect changed the file .,1.383254885673523,1.383254885673523,the,the,3
1,1,The suspect changed the file .,8.355742454528809,8.355742454528809,file,file,4
1,1,The suspect changed the file .,3.1666884422302246,3.1666884422302246,.,.,5
2,1,The suspect sent the file .,5.1062774658203125,5.1062774658203125,The,The,0
2,1,The suspect sent the file .,13.296472549438477,13.296472549438477,suspect,suspect,1
2,1,The suspect sent the file .,8.401986122131348,8.401986122131348,sent,sent,2
2,1,The suspect sent the file .,2.362830400466919,2.362830400466919,the,the,3
2,1,The suspect sent the file .,8.50723648071289,8.50723648071289,file,file,4
2,1,The suspect sent the file .,2.946511745452881,2.946511745452881,.,.,5
3,2,The corrupt politician mentioned the bill .,5.1062774658203125,5.1062774658203125,The,The,0
3,2,The corrupt politician mentioned the bill .,12.56621265411377,12.56621265411377,corrupt,corrupt,1
3,2,The corrupt politician mentioned the bill .,5.282762050628662,5.282762050628662,politician,politician,2
3,2,The corrupt politician mentioned the bill .,10.737541198730469,10.737541198730469,mentioned,mentioned,3
3,2,The corrupt politician mentioned the bill .,3.279074192047119,3.279074192047119,the,the,4
3,2,The corrupt politician mentioned the bill .,8.932907104492188,8.932907104492188,bill,bill,5
3,2,The corrupt politician mentioned the bill .,2.189924716949463,2.189924716949463,.,.,6
4,2,The corrupt politician signed the bill .,5.1062774658203125,5.1062774658203125,The,The,0
4,2,The corrupt politician signed the bill .,12.56621265411377,12.56621265411377,corrupt,corrupt,1
4,2,The corrupt politician signed the bill .,5.282762050628662,5.282762050628662,politician,politician,2
4,2,The corrupt politician signed the bill .,12.289112091064453,12.289112091064453,signed,signed,3
4,2,The corrupt politician signed the bill .,2.108854293823242,2.108854293823242,the,the,4
4,2,The corrupt politician signed the bill .,3.021901845932007,3.021901845932007,bill,bill,5
4,2,The corrupt politician signed the bill .,2.428884744644165,2.428884744644165,.,.,6
5,2,The corrupt politician handed the bill .,5.1062774658203125,5.1062774658203125,The,The,0
5,2,The corrupt politician handed the bill .,12.56621265411377,12.56621265411377,corrupt,corrupt,1
5,2,The corrupt politician handed the bill .,5.282762050628662,5.282762050628662,politician,politician,2
5,2,The corrupt politician handed the bill .,12.532787322998047,12.532787322998047,handed,handed,3
5,2,The corrupt politician handed the bill .,2.2740345001220703,2.2740345001220703,the,the,4
5,2,The corrupt politician handed the bill .,5.370149612426758,5.370149612426758,bill,bill,5
5,2,The corrupt politician handed the bill .,3.7574715614318848,3.7574715614318848,.,.,6
6,3,The woman maintained the mail .,5.1062774658203125,5.1062774658203125,The,The,0
6,3,The woman maintained the mail .,10.144597053527832,10.144597053527832,woman,woman,1
6,3,The woman maintained the mail .,10.078760147094727,10.078760147094727,maintained,maintained,2
6,3,The woman maintained the mail .,1.7584590911865234,1.7584590911865234,the,the,3
6,3,The woman maintained the mail .,10.215738296508789,10.215738296508789,mail,mail,4
6,3,The woman maintained the mail .,2.3804330825805664,2.3804330825805664,.,.,5
7,3,The woman moved the mail .,5.1062774658203125,5.1062774658203125,The,The,0
7,3,The woman moved the mail .,10.144597053527832,10.144597053527832,woman,woman,1
7,3,The woman moved the mail .,8.269966125488281,8.269966125488281,moved,moved,2
7,3,The woman moved the mail .,3.0400736331939697,3.0400736331939697,the,the,3
