item,condition,disambPositionUnamb,unambiguous,disambPositionAmb,ambiguous,Question,Option1,Option0,Answer,Ambiguity targeted?
1,NPS_UAMB,7,The suspect showed that the file deserved further investigation during the murder trial.,6,The suspect showed the file deserved further investigation during the murder trial.,Who drew attention to the file during the trial?,The suspect,The lawyer,1,X
1,NPZ_UAMB,7,"Because the suspect changed, the file deserved further investigation during the jury discussions.",7,Because the suspect changed the file deserved further investigation during the jury discussions.,Did the suspect change the file?,Yes,No,0,X
1,MVRR_UAMB,8,The suspect who was sent the file deserved further investigation given the new evidence.,6,The suspect sent the file deserved further investigation given the new evidence.,Did the suspect send the file to someone?,Yes,No,0,X
2,NPS_UAMB,8,The corrupt politician mentioned that the bill received unwelcome attention from southern voters.,7,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,Did the bill receive any negative attention?,Yes,No,1,X
2,NPZ_UAMB,8,"After the corrupt politician signed, the bill received unwelcome attention from southern voters.",8,After the corrupt politician signed the bill received unwelcome attention from southern voters.,Did the southern voters disapprove of the bill?,Yes,No,1,X
2,MVRR_UAMB,9,The corrupt politician who was handed the bill received unwelcome attention from southern voters.,7,The corrupt politician handed the bill received unwelcome attention from southern voters.,Did the politician hand the bill to someone?,Yes,No,0,X
3,NPS_UAMB,7,The woman maintained that the mail disappeared mysteriously from her front porch.,6,The woman maintained the mail disappeared mysteriously from her front porch.,Could the woman find the mail?,Yes,No,0,
3,NPZ_UAMB,7,"After the woman moved, the mail disappeared mysteriously from the delivery system.",7,After the woman moved the mail disappeared mysteriously from the delivery system.,Did the woman move the mail?,Yes,No,0,X
3,MVRR_UAMB,8,The woman who was brought the mail disappeared mysteriously after reading the bad news in it.,6,The woman brought the mail disappeared mysteriously after reading the bad news in it.,Did the woman receive the mail?,Yes,No,1,X
4,NPS_UAMB,7,The boy found that the chicken stayed surprisingly happy in the new barn.,6,The boy found the chicken stayed surprisingly happy in the new barn.,Was the chicken satisfied in the new barn?,Yes,No,1,X
4,NPZ_UAMB,7,"Although the boy attacked, the chicken stayed surprisingly happy as if nothing happened.",7,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,Was the chicken disturbed by the boy\'s attack?,Yes,No,0,
4,MVRR_UAMB,8,The boy who was fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,6,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,Did the boy feed the chicken?,Yes,No,0,X
5,NPS_UAMB,8,The new doctor demonstrated that the operation appeared increasingly likely to succeed.,7,The new doctor demonstrated the operation appeared increasingly likely to succeed.,What did the doctor demonstrate?,The operation,The operation\'s likelihood of success,0,X
5,NPZ_UAMB,8,"After the new doctor left, the operation appeared increasingly likely to succeed.",8,After the new doctor left the operation appeared increasingly likely to succeed.,Did the doctor appear likely to succeed?,Yes,No,0,
5,MVRR_UAMB,9,The new doctor who was offered the operation appeared increasingly likely to succeed in her career.,7,The new doctor offered the operation appeared increasingly likely to succeed in her career.,Did the doctor offer the operation to someone?,Yes,No,0,X
6,NPS_UAMB,7,The professor noticed that the grant gained more attention from marine biologists.,6,The professor noticed the grant gained more attention from marine biologists.,Who paid attention to the grant?,The professor,Marine biologists,0,X
6,NPZ_UAMB,7,"After the professor read, the grant gained more attention due to her excellent description.",7,After the professor read the grant gained more attention due to her excellent description.,Who or what got a lot of attention?,The grant,The professor,1,X
