,item#_in_Provo,item,Sentence,Question,Option1,Option0,Correct answer,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2,token,word,word_pos
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,8.935513496398926,12.891221009051133,8.935513496398926,12.891221009051133,There,There,0
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,1.2964006662368774,1.8703108121850913,1.2964006662368774,1.8703108121850913,are,are,1
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,5.409794807434082,7.804684140912015,5.409794807434082,7.804684140912015,now,now,2
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,3.893164873123169,5.616649655817906,3.893164873123169,5.616649655817906,<UNK>,rumblings,3
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,5.040314674377441,7.271636985244205,5.040314674377441,7.271636985244205,that,that,4
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,11.756826400756836,16.961515144964327,11.756826400756836,16.961515144964327,Apple,Apple,5
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,6.445808410644531,9.299335828557236,6.445808410644531,9.299335828557236,might,might,6
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,7.11663818359375,10.267138615271744,7.11663818359375,10.267138615271744,soon,soon,7
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,10.157309532165527,14.653900090829405,10.157309532165527,14.653900090829405,invade,invade,8
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,2.991614818572998,4.3159878630052,2.991614818572998,4.3159878630052,the,the,9
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,11.502525329589844,16.594636250698958,11.502525329589844,16.594636250698958,smart,smart,10
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,11.440743446350098,16.505503834132195,11.440743446350098,16.505503834132195,watch,watch,11
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,10.75196361541748,15.51180458778137,5.37598180770874,7.755902293890685,"space.,","space,",12
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,5.001038551330566,7.214973517299134,5.001038551330566,7.214973517299134,though,though,13
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,1.9173122644424438,2.7660968957467027,1.9173122644424438,2.7660968957467027,the,the,14
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,3.5480051040649414,5.1186893686832216,3.5480051040649414,5.1186893686832216,company,company,15
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,2.572099447250366,3.7107551172213475,2.572099447250366,3.7107551172213475,is,is,16
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,9.333227157592773,13.46500053574929,9.333227157592773,13.46500053574929,maintaining,maintaining,17
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,1.9176779985427856,2.7666245385195496,1.9176779985427856,2.7666245385195496,its,its,18
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,11.140098571777344,16.0717649645174,11.140098571777344,16.0717649645174,customary,customary,19
