word,count
she,104911
focused,3734
on,546177
the,5226485
major,31881
themes,2616
enjoyed,2698
:,116010
wild,4075
animals,6122
",",4138132
nature,9502
feminist,859
heroes,1068
and,2076297
filming,2116
location,9434
.,3036565
<eos>,3052726
after,142329
donald,2078
trump,985
became,59269
presumptive,136
nominee,778
for,589941
republic,9686
party,35650
in,1946021
may,85544
<num>,1739097
walker,2406
stated,12111
that,516911
he,419102
would,94565
support,22377
as,625805
republican,7534
saying,7025
make,25053
a,1524719
better,9910
president,27465
than,77780
hillary,404
clinton,2455
tourism,2559
is,651377
described,15052
nearby,6821
places,6490
of,2531746
interest,11771
below,16142
with,528022
details,3383
surrounding,5938
historic,5703
landscape,2266
attractions,951
<unk>,2233852
located,25491
at,340101
(,398325
),400237
they,151444
had,219206
ambition,512
to,1663336
add,2333
two,117722
new,141309
floors,1175
but,167032
because,46051
nazi,2777
rise,5228
power,26946
1930s,3846
their,167404
plans,7762
came,20862
sudden,1268
halt,641
investments,971
address,3840
it,366111
have,153371
increased,11499
remain,6999
far,12241
from,392786
being,61549
sufficient,2840
solve,1127
unleash,66
human,16268
potential,6880
remains,9607
trapped,1051
malnutrition,173
until,51689
five,23782
years,91403
ago,2893
worked,14466
yates,304
',100026
wine,2729
lodge,1334
liverpool,2556
"""",1374663
meeting,7436
greeting,233
limited,10989
number,48440
occasions,2599
underwent,1506
locomotive,1614
shortages,483
leased,843
classes,5455
freight,1487
australia,14898
later,67445
pacific,9985
national,46625
appearing,2587
train,7481
green,10668
yellow,3796
livery,432
was,827919
barrett,546
remained,14540
exercise,2370
own,31445
police,14950
first,149484
australian,10166
challenge,3460
when,119301
lost,15548
's,439097
designed,12085
by,492421
philip,3221
rhodes,783
beginning,12065
world,64746
war,59040
i,53959
japan,10543
assumed,3397
control,20135
marshall,2277
islands,8547
founding,3437
member,22267
independence,6544
served,22884
minister,14261
justice,7469
government,47105
participated,3257
used,81268
baked,318
goods,4463
frozen,781
dairy,801
products,7461
agent,4333
soft,2118
drinks,716
prevention,871
actions,5249
or,242807
production,19887
estrogen,133
body,16986
treatment,6680
these,75450
cancers,295
this,227237
qualified,1959
her,121485
midwestern,289
november,24679
withdrew,1745
ended,9181
season,32823
did,41583
not,179565
feel,3241
fully,5526
recovered,2270
salt,3029
mining,3313
took,28836
place,29238
stone,7884
forts,628
were,308336
built,25972
fertile,729
plains,1544
near,18245
rivers,3366
others,17524
vicinity,1032
mines,2079
where,68653
iron,5489
ore,1022
extracted,555
pugh,106
died,23181
remaining,7609
aboard,1613
sinking,780
troop,838
ship,11926
wounded,3110
military,22896
personnel,3411
clydebank,61
founded,11855
burgh,258
census,21012
there,114685
people,62534
households,22741
families,20283
residing,8191
cdp,2588
teenager,724
graham,2023
attended,7544
stony,178
brook,827
school,60605
christian,9746
private,13591
long,27731
island,21625
york,32598
finished,7961
high,43167
north,41481
carolina,5749
efficient,2023
called,38959
capital,10164
allocation,500
line,35600
its,154661
formula,2386
can,84924
be,242262
shown,7979
p,1936
risky,351
assets,2106
bullet,904
f,2122
asset,850
c,4194
combination,3845
portfolios,160
orbit,1701
columbia,5693
excellent,2020
condition,4953
flight,7281
controllers,322
noted,8876
no,67772
problems,9875
spacecraft,1261
systems,13240
uniformity,167
x,5409
which,251233
all,107081
such,81859
functions,5009
are,262380
uniformly,300
continuous,2609
%,209888
experienced,3625
severe,3983
pain,2877
while,68713
moderate,1870
none,4176
religion,5129
state,62195
should,18878
linked,2807
his,376868
view,9205
indispensable,165
providing,5602
enforcing,300
islamic,2787
law,27634
good,16829
forbidding,184
evil,2276
unifying,181
preparing,1275
society,15258
