iter,lstm,gpt2,nosurp
1,0.1945096,0.3379077,0.2312517
2,0.4632441,0.5732164,0.4809575
3,0.7006812,0.7421747,0.712915
4,0.4798268,0.5503726,0.549821
5,0.2476999,0.4074347,0.2374535
6,0.2104425,0.4746894,0.2663868
7,0.3512748,0.4388037,0.2820168
8,0.3138178,0.3924691,0.3334402
9,0.6696588,0.7011997,0.6858655
10,0.5128621,0.627496,0.471987
11,0.7241194,0.7656046,0.7343534
12,0.8411581,0.7878964,0.8408437
13,0.7200524,0.7330743,0.7195158
14,0.7657322,0.7795791,0.7610982
15,0.5742336,0.5725062,0.548561
