iter,lstm,gpt2,nosurp
1,0.8409545,0.8458819,0.83779
2,0.7286323,0.7378933,0.7488623
3,0.6924588,0.7040794,0.6503871
4,0.6610626,0.6864738,0.6420085
5,0.491928,0.4974953,0.5241672
6,0.5818655,0.5832322,0.597186
7,0.6976819,0.7231432,0.7386128
8,0.7542008,0.7567771,0.7640017
9,0.7786502,0.8058944,0.758087
10,0.4569158,0.5788199,0.3860703
11,0.4585092,0.5403211,0.4264003
12,0.4554422,0.4898346,0.5951005
13,0.7631599,0.7627289,0.732347
14,0.5078995,0.5417589,0.4947664
15,0.3864631,0.4017075,0.308923
