iter,lstm,gpt2,nosurp,lstm_only,gpt2_only
1,0.8409545,0.8458819,0.83779,0.5899135,0.7891036
2,0.7286323,0.7378933,0.7488623,0.4452015,0.5183544
3,0.6924588,0.7040794,0.6503871,0.5190567,0.49253
4,0.6610626,0.6864738,0.6420085,0.5981953,0.7565976
5,0.491928,0.4974953,0.5241672,0.4379324,0.4954383
6,0.5818655,0.5832322,0.597186,0.4760044,0.4685563
7,0.6976819,0.7231432,0.7386128,0.4152027,0.5517859
8,0.7542008,0.7567771,0.7640017,0.5588394,0.6310587
9,0.7786502,0.8058944,0.758087,0.5240179,0.5389793
10,0.4569158,0.5788199,0.3860703,0.5319077,0.8187512
11,0.4585092,0.5403211,0.4264003,0.5692976,0.5703951
12,0.4554422,0.4898346,0.5951005,0.177856,0.2996616
13,0.7631599,0.7627289,0.732347,0.7974383,0.7464577
14,0.5078995,0.5417589,0.4947664,0.5116484,0.4905919
15,0.3864631,0.4017075,0.308923,0.4297735,0.511128
