"Correlation","EOI","model","ROI"
0.378013533227136,"GPE_low","lstm",0
0.212550092064618,"GPE_low","gpt2",0
-0.0404297520696778,"GPE_low","nosurp",0
-0.164205454308569,"GPE_low","lstm",0
0.210076018372632,"GPE_low","gpt2",0
0.21425962971237,"GPE_low","nosurp",0
0.025384273968198,"GPE_low","lstm",0
-0.110329676126139,"GPE_low","gpt2",0
0.306364744301916,"GPE_low","nosurp",0
0.145007063345831,"GPE_low","lstm",0
0.278504947202381,"GPE_low","gpt2",0
0.0600115684373078,"GPE_low","nosurp",0
0.0324123257768223,"GPE_low","lstm",0
0.258371909630333,"GPE_low","gpt2",0
-0.206337099755168,"GPE_low","nosurp",0
0.28727846973338,"GPE_low","lstm",0
0.332020710525279,"GPE_low","gpt2",0
-0.0340467311093064,"GPE_low","nosurp",0
0.0129633681654917,"GPE_low","lstm",0
-0.0510201093326303,"GPE_low","gpt2",0
0.00206034015195891,"GPE_low","nosurp",0
-0.203826560612853,"GPE_low","lstm",0
0.406499780033524,"GPE_low","gpt2",0
-0.0335832861437069,"GPE_low","nosurp",0
-0.301853837272093,"GPE_low","lstm",0
-0.0897176594006958,"GPE_low","gpt2",0
0.469062650498649,"GPE_low","nosurp",0
-0.0481780662258147,"GPE_low","lstm",0
-0.133917078334191,"GPE_low","gpt2",0
0.303520291508661,"GPE_low","nosurp",0
-0.0236151910623464,"GPE_low","lstm",0
0.207897333216058,"GPE_low","gpt2",0
0.0569514132980166,"GPE_low","nosurp",0
0.262787877144879,"GPE_low","lstm",0
-0.0673770056528597,"GPE_low","gpt2",0
-0.0895132702588095,"GPE_low","nosurp",0
0.0381059132228748,"GPE_low","lstm",0
0.151280386163457,"GPE_low","gpt2",0
0.00691086974829725,"GPE_low","nosurp",0
-0.0180397129664121,"GPE_low","lstm",0
-0.0366155244386686,"GPE_low","gpt2",0
0.04857761820117,"GPE_low","nosurp",0
-0.0942851306647543,"GPE_low","lstm",0
-0.0396346725349813,"GPE_low","gpt2",0
0.125838705546544,"GPE_low","nosurp",0
0.0594730577383859,"GPE_low","lstm",0
-0.0357165803965655,"GPE_low","gpt2",0
0.108041971352115,"GPE_low","nosurp",0
0.0589349499889568,"GPE_low","lstm",0
0.216157915969566,"GPE_low","gpt2",0
-0.0559052701613625,"GPE_low","nosurp",0
-0.0179667444944339,"GPE_low","lstm",0
0.293995964693054,"GPE_low","gpt2",0
-0.0375960075357764,"GPE_low","nosurp",0
0.117423403236325,"GPE_low","lstm",0
0.380220160694146,"GPE_low","gpt2",0
-0.100875504848319,"GPE_low","nosurp",0
-0.0212254487172528,"GPE_low","lstm",0
-0.158805736275246,"GPE_low","gpt2",0
-0.260700077744956,"GPE_low","nosurp",0
0.0806504754063903,"GPE_low","lstm",0
0.137479963414188,"GPE_low","gpt2",0
0.153622403464674,"GPE_low","nosurp",0
-0.178095275893548,"GPE_low","lstm",0
-0.0135708183538439,"GPE_low","gpt2",0
-0.226932730280563,"GPE_low","nosurp",0
0.156363058664153,"GPE_low","lstm",0
0.101484578317146,"GPE_low","gpt2",0
0.188192743573999,"GPE_low","nosurp",0
0.109641532507493,"GPE_low","lstm",0
0.339076814026737,"GPE_low","gpt2",0
0.212517729487917,"GPE_low","nosurp",0
0.0519439886826752,"GPE_low","lstm",0
-0.14841840171025,"GPE_low","gpt2",0
0.0754107768204359,"GPE_low","nosurp",0
-0.119564342755972,"GPE_low","lstm",0
0.292422217328753,"GPE_low","gpt2",0
0.286945276766219,"GPE_low","nosurp",0
0.264038569673078,"GPE_low","lstm",0
0.26598000633081,"GPE_low","gpt2",0
0.27430994803554,"GPE_low","nosurp",0
-0.0637040442642531,"GPE_low","lstm",0
-0.196326437017363,"GPE_low","gpt2",0
-0.0446234703419533,"GPE_low","nosurp",0
