"Correlation","EOI","model","ROI"
-0.508815716803698,"Agr","lstm",1
-0.307579558061449,"Agr","gpt2",1
-0.172059658917533,"Agr","nosurp",1
-0.232056895883253,"Agr","lstm",1
-0.279307304379563,"Agr","gpt2",1
-0.210403878288379,"Agr","nosurp",1
-0.100465050536781,"Agr","lstm",1
-0.0793774895891372,"Agr","gpt2",1
-0.122445846314232,"Agr","nosurp",1
0.202359233843761,"Agr","lstm",1
0.351353585391831,"Agr","gpt2",1
0.126330479849791,"Agr","nosurp",1
0.202591136920039,"Agr","lstm",1
0.0466071738432382,"Agr","gpt2",1
0.1729983557728,"Agr","nosurp",1
0.227106555233732,"Agr","lstm",1
0.364643243727821,"Agr","gpt2",1
0.258528366921222,"Agr","nosurp",1
-0.254353725329385,"Agr","lstm",1
-0.214432485369364,"Agr","gpt2",1
0.0125237121118012,"Agr","nosurp",1
-0.0598297995666493,"Agr","lstm",1
0.155370259327208,"Agr","gpt2",1
-0.0228739207371269,"Agr","nosurp",1
-0.252645405818944,"Agr","lstm",1
-0.0647884598761131,"Agr","gpt2",1
-0.298043539993779,"Agr","nosurp",1
-0.0393698910220282,"Agr","lstm",1
-0.0641169564454129,"Agr","gpt2",1
0.0843032445328629,"Agr","nosurp",1
0.357137810679319,"Agr","lstm",1
0.207656060838631,"Agr","gpt2",1
0.0934262611311502,"Agr","nosurp",1
-0.212456855127215,"Agr","lstm",1
-0.071394906059573,"Agr","gpt2",1
-0.0403972798154586,"Agr","nosurp",1
0.00247419415600112,"Agr","lstm",1
-0.120053802069064,"Agr","gpt2",1
0.0750037153095721,"Agr","nosurp",1
0.271449064233874,"Agr","lstm",1
0.486214950941417,"Agr","gpt2",1
0.321833562559511,"Agr","nosurp",1
-0.00288063380198055,"Agr","lstm",1
0.258627245982791,"Agr","gpt2",1
0.143220049705409,"Agr","nosurp",1
0.444113793962822,"Agr","lstm",1
0.0648741548065561,"Agr","gpt2",1
0.146152465018929,"Agr","nosurp",1
-0.0301952984868442,"Agr","lstm",1
-0.00584626421467811,"Agr","gpt2",1
-0.174470347895392,"Agr","nosurp",1
0.172286443470668,"Agr","lstm",1
0.156082587493213,"Agr","gpt2",1
0.193607567885133,"Agr","nosurp",1
-0.393275201109925,"Agr","lstm",1
-0.323362089703211,"Agr","gpt2",1
-0.336298659069497,"Agr","nosurp",1
-0.168105647803893,"Agr","lstm",1
0.00704943004406994,"Agr","gpt2",1
-0.19957586629118,"Agr","nosurp",1
-0.136042679629261,"Agr","lstm",1
0.0987092894775992,"Agr","gpt2",1
-0.263059962336983,"Agr","nosurp",1
-0.111316275290052,"Agr","lstm",1
-0.182919092104531,"Agr","gpt2",1
0.0718331928773042,"Agr","nosurp",1
-0.173916940105732,"Agr","lstm",1
0.00128521262412729,"Agr","gpt2",1
-0.146704167693892,"Agr","nosurp",1
0.0374513982393447,"Agr","lstm",1
0.143400337364813,"Agr","gpt2",1
-0.205099117230475,"Agr","nosurp",1
-0.180724475231851,"Agr","lstm",1
0.0636119272910304,"Agr","gpt2",1
-0.420830878034497,"Agr","nosurp",1
0.166607167624927,"Agr","lstm",1
0.0706076093258412,"Agr","gpt2",1
0.042472689343506,"Agr","nosurp",1
-0.0551287808649601,"Agr","lstm",1
-0.307320131577417,"Agr","gpt2",1
-0.157078881854673,"Agr","nosurp",1
-0.576203319479149,"Agr","lstm",1
-0.33403111258185,"Agr","gpt2",1
-0.467502372606523,"Agr","nosurp",1
0.30356946068703,"Agr","lstm",1
0.369097669948615,"Agr","gpt2",1
0.267842938515639,"Agr","nosurp",1
0.103905003023918,"Agr","lstm",1
0.227385339996924,"Agr","gpt2",1
0.0341198417388258,"Agr","nosurp",1
0.334722507630504,"Agr","lstm",1
0.349910224849415,"Agr","gpt2",1
0.498834927396118,"Agr","nosurp",1
-0.492964116283594,"Agr","lstm",1
-0.559922745427279,"Agr","gpt2",1
-0.313771417835705,"Agr","nosurp",1
-0.501715072958887,"Agr","lstm",1
-0.353286017887928,"Agr","gpt2",1
-0.623485985038155,"Agr","nosurp",1
0.243180307245874,"Agr","lstm",1
0.0728891257696649,"Agr","gpt2",1
0.157337781037982,"Agr","nosurp",1
-0.380623522076283,"Agr","lstm",1
-0.429908205462989,"Agr","gpt2",1
-0.430402767816042,"Agr","nosurp",1
0.12029563960937,"Agr","lstm",1
0.127736313928873,"Agr","gpt2",1
0.251524798868584,"Agr","nosurp",1
0.151249164787944,"Agr","lstm",1
0.101581775240562,"Agr","gpt2",1
0.276478425438284,"Agr","nosurp",1
0.210916867215225,"Agr","lstm",1
0.25379967751738,"Agr","gpt2",1
0.119595293644572,"Agr","nosurp",1
0.153984169261577,"Agr","lstm",1
0.214066417408448,"Agr","gpt2",1
0.013767923453806,"Agr","nosurp",1
-0.133699211762428,"Agr","lstm",1
-0.108255936934064,"Agr","gpt2",1
-0.19045633061179,"Agr","nosurp",1
-0.0278090508273644,"Agr","lstm",1
0.058285259719327,"Agr","gpt2",1
-0.0358388673220398,"Agr","nosurp",1
0.123343699708839,"Agr","lstm",1
0.231302894931002,"Agr","gpt2",1
0.240538360248746,"Agr","nosurp",1
-0.00215961671203354,"Agr","lstm",1
0.283114794857038,"Agr","gpt2",1
-0.0382265918089085,"Agr","nosurp",1
-0.0446319391377086,"Agr","lstm",1
-0.0085080013245669,"Agr","gpt2",1
0.069796120675292,"Agr","nosurp",1
-0.344243058408641,"Agr","lstm",1
-0.384079593821557,"Agr","gpt2",1
-0.409789470749717,"Agr","nosurp",1
0.0602439240341023,"Agr","lstm",1
0.281800313377046,"Agr","gpt2",1
0.176561511575908,"Agr","nosurp",1
0.270400200928931,"Agr","lstm",1
-0.0329644737984224,"Agr","gpt2",1
-0.0150582454707819,"Agr","nosurp",1
-0.0885637135365336,"Agr","lstm",1
-0.13639203971019,"Agr","gpt2",1
-0.123337165203046,"Agr","nosurp",1
-0.0170680411360721,"Agr","lstm",1
-0.086583222502611,"Agr","gpt2",1
0.1244596993386,"Agr","nosurp",1
0.100390366433257,"Agr","lstm",1
0.320668236246287,"Agr","gpt2",1
0.0418480469145636,"Agr","nosurp",1
-0.384066457777953,"Agr","lstm",1
-0.369730675012055,"Agr","gpt2",1
-0.261699608217833,"Agr","nosurp",1
0.0346960972309678,"Agr","lstm",1
0.0207251008711771,"Agr","gpt2",1
0.2917950603836,"Agr","nosurp",1
-0.0373249226534133,"Agr","lstm",1
-0.0311497369843602,"Agr","gpt2",1
0.0543578815005381,"Agr","nosurp",1
0.597989431648818,"Agr","lstm",1
0.41200346636396,"Agr","gpt2",1
0.413225929790998,"Agr","nosurp",1
-0.219733048088297,"Agr","lstm",1
-0.0478614047386601,"Agr","gpt2",1
-0.132923356669328,"Agr","nosurp",1
-0.0968165196583771,"Agr","lstm",1
-0.00945137181940412,"Agr","gpt2",1
-0.0850346099352494,"Agr","nosurp",1
0.205436163212793,"Agr","lstm",1
0.201442031891235,"Agr","gpt2",1
0.210698720690489,"Agr","nosurp",1
0.130489521422043,"Agr","lstm",1
0.0531661768147124,"Agr","gpt2",1
0.286683444684019,"Agr","nosurp",1
0.274984522283032,"Agr","lstm",1
0.294410129118082,"Agr","gpt2",1
0.319890732961444,"Agr","nosurp",1
0.18792412524232,"Agr","lstm",1
-0.0768660274153214,"Agr","gpt2",1
-0.0404365209538507,"Agr","nosurp",1
-0.0347464825811579,"Agr","lstm",1
0.101776933762598,"Agr","gpt2",1
-0.106128883766909,"Agr","nosurp",1
0.203939912219089,"Agr","lstm",1
0.395491969103274,"Agr","gpt2",1
0.32205243647619,"Agr","nosurp",1
-0.0497109234344444,"Agr","lstm",1
-0.133208704982146,"Agr","gpt2",1
-0.187619104549457,"Agr","nosurp",1
0.139452271525428,"Agr","lstm",1
-0.0464672953659706,"Agr","gpt2",1
0.311371803409524,"Agr","nosurp",1
-0.185045472100199,"Agr","lstm",1
-0.160529258855325,"Agr","gpt2",1
-0.163529007392065,"Agr","nosurp",1
-0.118653399344903,"Agr","lstm",1
-0.256299435689223,"Agr","gpt2",1
-0.407304636701162,"Agr","nosurp",1
0.0524564324071322,"Agr","lstm",1
0.236472153660778,"Agr","gpt2",1
0.191663625710289,"Agr","nosurp",1
0.0670159961721213,"Agr","lstm",1
0.0210875862526102,"Agr","gpt2",1
0.00853135247011007,"Agr","nosurp",1
-0.182651232197932,"Agr","lstm",1
-0.23085246346278,"Agr","gpt2",1
-0.172251552907428,"Agr","nosurp",1
-0.0281892222550943,"Agr","lstm",1
-0.126258831136844,"Agr","gpt2",1
-0.0516785472136072,"Agr","nosurp",1
0.303903116785794,"Agr","lstm",1
0.201497538440949,"Agr","gpt2",1
0.321468212467287,"Agr","nosurp",1
-0.0425025379741477,"Agr","lstm",1
-0.068152160705826,"Agr","gpt2",1
-0.0335372537497718,"Agr","nosurp",1
0.304566474351541,"Agr","lstm",1
0.297913260475439,"Agr","gpt2",1
0.132261780757685,"Agr","nosurp",1
-0.0194017236412271,"Agr","lstm",1
-0.106536695183923,"Agr","gpt2",1
0.17637574378002,"Agr","nosurp",1
0.223176626422231,"Agr","lstm",1
