"Correlation","EOI","model","ROI"
0.161055568347537,"GPE_MVRR","lstm",1
0.318103642510684,"GPE_NPS","lstm",1
0.617214434304665,"GPE_NPZ","lstm",1
-0.192847330302801,"GPE_MVRR","gpt2",1
0.597095543575355,"GPE_NPS","gpt2",1
0.241842907039158,"GPE_NPZ","gpt2",1
0.208753247944708,"GPE_MVRR","nosurp",1
0.0968331563478049,"GPE_NPS","nosurp",1
0.211536456463657,"GPE_NPZ","nosurp",1
0.0900079499878882,"GPE_MVRR","lstm",1
0.241818765115037,"GPE_NPS","lstm",1
0.510760568611167,"GPE_NPZ","lstm",1
-0.0488692433557132,"GPE_MVRR","gpt2",1
0.441876095475018,"GPE_NPS","gpt2",1
0.299685159843579,"GPE_NPZ","gpt2",1
0.620957185758371,"GPE_MVRR","nosurp",1
-0.228817671139122,"GPE_NPS","nosurp",1
-0.189275625743792,"GPE_NPZ","nosurp",1
0.15628442965884,"GPE_MVRR","lstm",1
0.34428704908242,"GPE_NPS","lstm",1
0.376769745894793,"GPE_NPZ","lstm",1
-0.10838000231093,"GPE_MVRR","gpt2",1
0.483856564736639,"GPE_NPS","gpt2",1
0.284200166833454,"GPE_NPZ","gpt2",1
0.16094386027421,"GPE_MVRR","nosurp",1
-0.200292516021179,"GPE_NPS","nosurp",1
-0.202752543860314,"GPE_NPZ","nosurp",1
0.200864086396567,"GPE_MVRR","lstm",1
0.281812259852194,"GPE_NPS","lstm",1
0.234521435749472,"GPE_NPZ","lstm",1
0.21119414044781,"GPE_MVRR","gpt2",1
0.448000244622047,"GPE_NPS","gpt2",1
0.166838145230669,"GPE_NPZ","gpt2",1
0.131291462671206,"GPE_MVRR","nosurp",1
0.29594281393205,"GPE_NPS","nosurp",1
-0.234256549481119,"GPE_NPZ","nosurp",1
0.352980949203504,"GPE_MVRR","lstm",1
-0.0769709617212237,"GPE_NPS","lstm",1
0.406584144663994,"GPE_NPZ","lstm",1
0.0652004749818383,"GPE_MVRR","gpt2",1
0.300041488364525,"GPE_NPS","gpt2",1
0.301454109915912,"GPE_NPZ","gpt2",1
0.238058965833763,"GPE_MVRR","nosurp",1
0.161973916186689,"GPE_NPS","nosurp",1
0.140933131208108,"GPE_NPZ","nosurp",1
0.363657237107611,"GPE_MVRR","lstm",1
0.275167069628062,"GPE_NPS","lstm",1
0.455534740463225,"GPE_NPZ","lstm",1
0.210438556148576,"GPE_MVRR","gpt2",1
0.449664587900163,"GPE_NPS","gpt2",1
0.462478296267311,"GPE_NPZ","gpt2",1
0.34081281067698,"GPE_MVRR","nosurp",1
0.342856750769255,"GPE_NPS","nosurp",1
-0.24785555772936,"GPE_NPZ","nosurp",1
0.161160374421116,"GPE_MVRR","lstm",1
0.349732494877059,"GPE_NPS","lstm",1
0.476573256524605,"GPE_NPZ","lstm",1
-0.0742407210142436,"GPE_MVRR","gpt2",1
0.546023545888231,"GPE_NPS","gpt2",1
0.2492459588372,"GPE_NPZ","gpt2",1
-0.0303977361698903,"GPE_MVRR","nosurp",1
-0.179035204907759,"GPE_NPS","nosurp",1
0.0659940324041874,"GPE_NPZ","nosurp",1
-0.0513458992911935,"GPE_MVRR","lstm",1
0.168240101544094,"GPE_NPS","lstm",1
0.349053964813473,"GPE_NPZ","lstm",1
-0.0510732170690355,"GPE_MVRR","gpt2",1
0.537135476217408,"GPE_NPS","gpt2",1
0.252754981770824,"GPE_NPZ","gpt2",1
0.0133339250213791,"GPE_MVRR","nosurp",1
0.303098566476206,"GPE_NPS","nosurp",1
-0.190497152140713,"GPE_NPZ","nosurp",1
-0.0918158619371962,"GPE_MVRR","lstm",1
0.197216335794207,"GPE_NPS","lstm",1
0.343936889882592,"GPE_NPZ","lstm",1
0.00582885867120746,"GPE_MVRR","gpt2",1
0.320852996150233,"GPE_NPS","gpt2",1
0.16125440100216,"GPE_NPZ","gpt2",1
0.305080567958316,"GPE_MVRR","nosurp",1
0.0296649677031227,"GPE_NPS","nosurp",1
-0.212782964223012,"GPE_NPZ","nosurp",1
0.17082969117909,"GPE_MVRR","lstm",1
0.125965093447955,"GPE_NPS","lstm",1
0.40400636110395,"GPE_NPZ","lstm",1
-0.142493686146542,"GPE_MVRR","gpt2",1
0.62044799455794,"GPE_NPS","gpt2",1
0.139427668247755,"GPE_NPZ","gpt2",1
-0.0240608379455383,"GPE_MVRR","nosurp",1
-0.0405665670933005,"GPE_NPS","nosurp",1
-0.0914695206545582,"GPE_NPZ","nosurp",1
0.278487557630922,"GPE_MVRR","lstm",1
0.388038363986104,"GPE_NPS","lstm",1
0.473257649078044,"GPE_NPZ","lstm",1
-0.0818838038826584,"GPE_MVRR","gpt2",1
0.560216204221273,"GPE_NPS","gpt2",1
0.284140900544629,"GPE_NPZ","gpt2",1
0.164514762629055,"GPE_MVRR","nosurp",1
0.533577246313383,"GPE_NPS","nosurp",1
0.00806792360527731,"GPE_NPZ","nosurp",1
0.337673733896177,"GPE_MVRR","lstm",1
0.410766079840824,"GPE_NPS","lstm",1
0.280962918150571,"GPE_NPZ","lstm",1
-0.0907637316966847,"GPE_MVRR","gpt2",1
0.519502914416663,"GPE_NPS","gpt2",1
0.256187746586737,"GPE_NPZ","gpt2",1
0.25709712332711,"GPE_MVRR","nosurp",1
0.0266442975330436,"GPE_NPS","nosurp",1
0.127744340260462,"GPE_NPZ","nosurp",1
0.433755078083548,"GPE_MVRR","lstm",1
0.423595229206263,"GPE_NPS","lstm",1
0.245114622908237,"GPE_NPZ","lstm",1
-0.190852423146356,"GPE_MVRR","gpt2",1
0.511606127846243,"GPE_NPS","gpt2",1
0.0488085647800326,"GPE_NPZ","gpt2",1
0.0838268623040117,"GPE_MVRR","nosurp",1
0.147466074192992,"GPE_NPS","nosurp",1
0.0753871341424,"GPE_NPZ","nosurp",1
0.271002093198617,"GPE_MVRR","lstm",1
0.241617296095866,"GPE_NPS","lstm",1
0.127952116486593,"GPE_NPZ","lstm",1
-0.0583608450994476,"GPE_MVRR","gpt2",1
0.351428689930336,"GPE_NPS","gpt2",1
0.0625444289341902,"GPE_NPZ","gpt2",1
0.428914449295055,"GPE_MVRR","nosurp",1
-0.318758589833826,"GPE_NPS","nosurp",1
0.17295631801554,"GPE_NPZ","nosurp",1
0.32210400455906,"GPE_MVRR","lstm",1
0.445491278983973,"GPE_NPS","lstm",1
0.400544352735383,"GPE_NPZ","lstm",1
0.226192530696709,"GPE_MVRR","gpt2",1
0.437779527363162,"GPE_NPS","gpt2",1
0.220626161143924,"GPE_NPZ","gpt2",1
0.0591376064908357,"GPE_MVRR","nosurp",1
-0.0802301119867478,"GPE_NPS","nosurp",1
0.112300061637955,"GPE_NPZ","nosurp",1
0.296015905695866,"GPE_MVRR","lstm",1
0.366033013106159,"GPE_NPS","lstm",1
0.288219813057658,"GPE_NPZ","lstm",1
0.0562106759714492,"GPE_MVRR","gpt2",1
0.534553382674793,"GPE_NPS","gpt2",1
0.449703614847075,"GPE_NPZ","gpt2",1
0.0758271588152593,"GPE_MVRR","nosurp",1
0.00334087013435029,"GPE_NPS","nosurp",1
0.0655040568235834,"GPE_NPZ","nosurp",1
0.348604839333802,"GPE_MVRR","lstm",1
0.286692453274012,"GPE_NPS","lstm",1
0.287183106676167,"GPE_NPZ","lstm",1
-0.244701305618315,"GPE_MVRR","gpt2",1
0.415634826733642,"GPE_NPS","gpt2",1
0.106827895025034,"GPE_NPZ","gpt2",1
0.217488584391915,"GPE_MVRR","nosurp",1
0.0785417826934114,"GPE_NPS","nosurp",1
0.132290181952317,"GPE_NPZ","nosurp",1
0.507939082557348,"GPE_MVRR","lstm",1
0.152582285741542,"GPE_NPS","lstm",1
0.151710427410325,"GPE_NPZ","lstm",1
0.146615832471752,"GPE_MVRR","gpt2",1
0.651751451064154,"GPE_NPS","gpt2",1
0.137905681369389,"GPE_NPZ","gpt2",1
0.0147051043910133,"GPE_MVRR","nosurp",1
0.291050330364681,"GPE_NPS","nosurp",1
-0.00747018814104021,"GPE_NPZ","nosurp",1
0.40280878552591,"GPE_MVRR","lstm",1
0.329984526310555,"GPE_NPS","lstm",1
0.286619103083333,"GPE_NPZ","lstm",1
-0.168644711778649,"GPE_MVRR","gpt2",1
0.430500028416784,"GPE_NPS","gpt2",1
0.0581720782043329,"GPE_NPZ","gpt2",1
0.0486745448084354,"GPE_MVRR","nosurp",1
-0.0276685984332953,"GPE_NPS","nosurp",1
-0.0182876715640238,"GPE_NPZ","nosurp",1
0.353905136083846,"GPE_MVRR","lstm",1
0.0707629749649465,"GPE_NPS","lstm",1
0.34391241932577,"GPE_NPZ","lstm",1
0.0285053525387467,"GPE_MVRR","gpt2",1
0.538731980352404,"GPE_NPS","gpt2",1
0.133679426337912,"GPE_NPZ","gpt2",1
0.105273942640827,"GPE_MVRR","nosurp",1
0.248780162340327,"GPE_NPS","nosurp",1
-0.00798141980623115,"GPE_NPZ","nosurp",1
0.147494034835666,"GPE_MVRR","lstm",1
0.196426579281163,"GPE_NPS","lstm",1
0.269242734791537,"GPE_NPZ","lstm",1
-0.120376157132508,"GPE_MVRR","gpt2",1
0.242133423824027,"GPE_NPS","gpt2",1
0.332020750096027,"GPE_NPZ","gpt2",1
0.0941617537389694,"GPE_MVRR","nosurp",1
0.17008519628374,"GPE_NPS","nosurp",1
-0.162134488949939,"GPE_NPZ","nosurp",1
0.302982563810547,"GPE_MVRR","lstm",1
0.178604366477244,"GPE_NPS","lstm",1
0.366782405714166,"GPE_NPZ","lstm",1
0.097495461531061,"GPE_MVRR","gpt2",1
0.540498948706127,"GPE_NPS","gpt2",1
0.44339936063445,"GPE_NPZ","gpt2",1
-0.142808610384154,"GPE_MVRR","nosurp",1
-0.296916802947465,"GPE_NPS","nosurp",1
0.0467219653202709,"GPE_NPZ","nosurp",1
0.294103288506963,"GPE_MVRR","lstm",1
-0.0902332499861331,"GPE_NPS","lstm",1
