"Correlation","EOI","model","ROI"
0.578161851558484,"RC","lstm",0
0.568020474783691,"RC","gpt2",0
0.508520736148315,"RC","nosurp",0
0.508761599769495,"RC","lstm",0
0.535558891259531,"RC","gpt2",0
0.429477323141661,"RC","nosurp",0
0.549426037265956,"RC","lstm",0
0.561043525724903,"RC","gpt2",0
0.418700511931263,"RC","nosurp",0
0.49722401006887,"RC","lstm",0
0.549431308254716,"RC","gpt2",0
0.412086634895988,"RC","nosurp",0
0.354340928750233,"RC","lstm",0
0.344595564617252,"RC","gpt2",0
0.290112480843014,"RC","nosurp",0
0.611258429307324,"RC","lstm",0
0.595027834767088,"RC","gpt2",0
0.542887629160656,"RC","nosurp",0
0.553149186622596,"RC","lstm",0
0.569193669882624,"RC","gpt2",0
0.453372726478987,"RC","nosurp",0
0.512692132470286,"RC","lstm",0
0.502660180018339,"RC","gpt2",0
0.421765257014111,"RC","nosurp",0
0.557475571760557,"RC","lstm",0
0.555684270040925,"RC","gpt2",0
0.492074727091358,"RC","nosurp",0
0.560007124550361,"RC","lstm",0
0.582850478275346,"RC","gpt2",0
0.480441362849182,"RC","nosurp",0
0.588314961077963,"RC","lstm",0
0.594086285006096,"RC","gpt2",0
0.525754614416505,"RC","nosurp",0
0.576190430508614,"RC","lstm",0
0.567746646069242,"RC","gpt2",0
0.469527974170098,"RC","nosurp",0
0.602227450598531,"RC","lstm",0
0.601391671780574,"RC","gpt2",0
0.528115690740677,"RC","nosurp",0
0.526437475899675,"RC","lstm",0
0.505510166486034,"RC","gpt2",0
0.43560095426729,"RC","nosurp",0
0.511521946079765,"RC","lstm",0
0.503931197914376,"RC","gpt2",0
0.462025935439456,"RC","nosurp",0
0.526139747024932,"RC","lstm",0
0.551614963814475,"RC","gpt2",0
0.404272980268436,"RC","nosurp",0
0.657558882756395,"RC","lstm",0
0.638991695674515,"RC","gpt2",0
0.53523788052893,"RC","nosurp",0
0.504837666548429,"RC","lstm",0
0.487004704962056,"RC","gpt2",0
0.371852744929946,"RC","nosurp",0
0.529555147828594,"RC","lstm",0
0.549754873880553,"RC","gpt2",0
0.377866932744861,"RC","nosurp",0
0.496695579983776,"RC","lstm",0
0.460912738827382,"RC","gpt2",0
0.409755501125815,"RC","nosurp",0
0.572164079068143,"RC","lstm",0
0.544006636416873,"RC","gpt2",0
0.537643060449647,"RC","nosurp",0
0.379563861877532,"RC","lstm",0
0.399941858975043,"RC","gpt2",0
0.368414542854721,"RC","nosurp",0
0.529123652242015,"RC","lstm",0
0.522423123423821,"RC","gpt2",0
0.534369680593179,"RC","nosurp",0
0.606883054521282,"RC","lstm",0
0.612279316924636,"RC","gpt2",0
0.516290658962849,"RC","nosurp",0
0.558152513040688,"RC","lstm",0
0.57339719787265,"RC","gpt2",0
0.481548983794804,"RC","nosurp",0
0.546068804070636,"RC","lstm",0
0.524741792963398,"RC","gpt2",0
0.406007330363284,"RC","nosurp",0
0.6118389683922,"RC","lstm",0
0.62493560008959,"RC","gpt2",0
0.49146627683604,"RC","nosurp",0
0.617453473599113,"RC","lstm",0
0.607483246453442,"RC","gpt2",0
0.564133026591148,"RC","nosurp",0
0.468498319663264,"RC","lstm",0
0.468998766299441,"RC","gpt2",0
0.402433700617007,"RC","nosurp",0
0.555517853258991,"RC","lstm",0
0.583072031186891,"RC","gpt2",0
0.51224530349422,"RC","nosurp",0
0.594409222236019,"RC","lstm",0
0.611046092396752,"RC","gpt2",0
0.424607223310112,"RC","nosurp",0
0.547016954526962,"RC","lstm",0
0.511208925934646,"RC","gpt2",0
0.492091791590547,"RC","nosurp",0
0.534278577724417,"RC","lstm",0
0.535197266968465,"RC","gpt2",0
0.475581386725886,"RC","nosurp",0
0.733367406794957,"RC","lstm",0
0.724480133392919,"RC","gpt2",0
0.621094200491864,"RC","nosurp",0
0.458962189778828,"RC","lstm",0
0.500969286062078,"RC","gpt2",0
0.434033096319402,"RC","nosurp",0
0.423537981873959,"RC","lstm",0
0.384230827849894,"RC","gpt2",0
0.363747548239539,"RC","nosurp",0
0.511622193285662,"RC","lstm",0
0.484634593914564,"RC","gpt2",0
0.414097527695198,"RC","nosurp",0
0.486373908126053,"RC","lstm",0
0.458182302597717,"RC","gpt2",0
0.43212903666796,"RC","nosurp",0
0.575576931972857,"RC","lstm",0
0.564121880225787,"RC","gpt2",0
0.49340521611462,"RC","nosurp",0
0.638363610538357,"RC","lstm",0
0.657840835297803,"RC","gpt2",0
0.542869065603197,"RC","nosurp",0
0.6922045358601,"RC","lstm",0
0.70171205609043,"RC","gpt2",0
0.56672004662345,"RC","nosurp",0
0.468605394676844,"RC","lstm",0
0.480279612797645,"RC","gpt2",0
0.386784518710412,"RC","nosurp",0
0.473229766968779,"RC","lstm",0
0.471376007051009,"RC","gpt2",0
0.417190831170268,"RC","nosurp",0
0.632069140856861,"RC","lstm",0
0.628930640860724,"RC","gpt2",0
0.556753262644278,"RC","nosurp",0
0.53993309211377,"RC","lstm",0
0.536404993589454,"RC","gpt2",0
0.464256203351401,"RC","nosurp",0
0.469297987543027,"RC","lstm",0
0.451690863399623,"RC","gpt2",0
0.412672822637894,"RC","nosurp",0
0.561291341627447,"RC","lstm",0
0.561415061655927,"RC","gpt2",0
0.435149672835641,"RC","nosurp",0
0.537953294670164,"RC","lstm",0
0.542414846637263,"RC","gpt2",0
0.423456018304457,"RC","nosurp",0
0.575786395980192,"RC","lstm",0
0.577923699482198,"RC","gpt2",0
0.467664039592119,"RC","nosurp",0
0.555047697442734,"RC","lstm",0
0.544867771658671,"RC","gpt2",0
0.45571229648921,"RC","nosurp",0
0.542134716690644,"RC","lstm",0
0.551670783545637,"RC","gpt2",0
0.540695494783304,"RC","nosurp",0
0.510972706729932,"RC","lstm",0
0.495729616749679,"RC","gpt2",0
0.454962300720114,"RC","nosurp",0
0.515137466971482,"RC","lstm",0
0.500956159071547,"RC","gpt2",0
0.4605684076177,"RC","nosurp",0
0.569541364578696,"RC","lstm",0
0.589033832429848,"RC","gpt2",0
0.527256986510968,"RC","nosurp",0
0.540557673263021,"RC","lstm",0
0.544690783389041,"RC","gpt2",0
0.458573119811819,"RC","nosurp",0
0.649854457398909,"RC","lstm",0
0.66305263408911,"RC","gpt2",0
0.587382818868363,"RC","nosurp",0
0.525687602783752,"RC","lstm",0
0.507670389115984,"RC","gpt2",0
0.356882110489154,"RC","nosurp",0
0.521110296874382,"RC","lstm",0
0.512160204669787,"RC","gpt2",0
0.459753526105936,"RC","nosurp",0
0.619242936999643,"RC","lstm",0
0.62439996883668,"RC","gpt2",0
0.557990925196544,"RC","nosurp",0
0.50732581745613,"RC","lstm",0
0.484292059132986,"RC","gpt2",0
0.407257831714672,"RC","nosurp",0
0.566948327154577,"RC","lstm",0
0.577343235362168,"RC","gpt2",0
0.47992397360602,"RC","nosurp",0
0.506387433410149,"RC","lstm",0
0.545569781168758,"RC","gpt2",0
0.511551896375379,"RC","nosurp",0
0.44509306090852,"RC","lstm",0
0.439761206758972,"RC","gpt2",0
0.344262169667964,"RC","nosurp",0
0.451176830387249,"RC","lstm",0
0.484860617592992,"RC","gpt2",0
0.430723756373622,"RC","nosurp",0
0.373069145621782,"RC","lstm",0
0.378115100583689,"RC","gpt2",0
0.327640136472419,"RC","nosurp",0
0.492015127437247,"RC","lstm",0
0.471038689568563,"RC","gpt2",0
0.419096115729169,"RC","nosurp",0
0.512399290326057,"RC","lstm",0
0.474712498863937,"RC","gpt2",0
0.431757554376443,"RC","nosurp",0
0.560143134551872,"RC","lstm",0
0.534055906188016,"RC","gpt2",0
0.467863916693393,"RC","nosurp",0
0.616216310496499,"RC","lstm",0
0.646527438714531,"RC","gpt2",0
0.586329599782699,"RC","nosurp",0
0.406267249543704,"RC","lstm",0
0.355638698051953,"RC","gpt2",0
0.328849491311181,"RC","nosurp",0
0.441755932380726,"RC","lstm",0
0.424543329834997,"RC","gpt2",0
0.325573015007764,"RC","nosurp",0
0.475612734124173,"RC","lstm",0
0.49756386845772,"RC","gpt2",0
0.409976207948318,"RC","nosurp",0
0.390995946301202,"RC","lstm",0
0.36058513678133,"RC","gpt2",0
0.227510315466465,"RC","nosurp",0
0.655264612900718,"RC","lstm",0
0.644712192096099,"RC","gpt2",0
0.601179286017194,"RC","nosurp",0
0.420512787904395,"RC","lstm",0
0.468737168073637,"RC","gpt2",0
0.343063313267854,"RC","nosurp",0
0.46382700628148,"RC","lstm",0
0.42945865532287,"RC","gpt2",0
0.391375836277285,"RC","nosurp",0
0.625369081957117,"RC","lstm",0
0.599022491710195,"RC","gpt2",0
0.526934121699902,"RC","nosurp",0
0.590247869904383,"RC","lstm",0
0.602363553036749,"RC","gpt2",0
0.578937969905421,"RC","nosurp",0
0.562730742543233,"RC","lstm",0
0.563772814571564,"RC","gpt2",0
0.496591117370665,"RC","nosurp",0
0.447571574188515,"RC","lstm",0
0.420831435230566,"RC","gpt2",0
0.293973091847301,"RC","nosurp",0
0.543035450430373,"RC","lstm",0
0.550854770133527,"RC","gpt2",0
0.416660209391366,"RC","nosurp",0
0.538823433659148,"RC","lstm",0
0.558126217665903,"RC","gpt2",0
0.5268127426562,"RC","nosurp",0
0.534977903890822,"RC","lstm",0
0.495787622257337,"RC","gpt2",0
0.381965417219165,"RC","nosurp",0
0.465723360491954,"RC","lstm",0
0.456424030680045,"RC","gpt2",0
0.398333038633229,"RC","nosurp",0
0.527904228358456,"RC","lstm",0
0.488999045401087,"RC","gpt2",0
0.392535557209417,"RC","nosurp",0
0.553791828639189,"RC","lstm",0
0.572188433126174,"RC","gpt2",0
0.453380719970543,"RC","nosurp",0
0.513955418949853,"RC","lstm",0
0.520657276877026,"RC","gpt2",0
0.384037996462202,"RC","nosurp",0
0.655372698243897,"RC","lstm",0
0.643194147949236,"RC","gpt2",0
0.613244417169941,"RC","nosurp",0
0.518507924009809,"RC","lstm",0
0.533243179077458,"RC","gpt2",0
0.449843943890383,"RC","nosurp",0
0.543982904253567,"RC","lstm",0
0.575972504293564,"RC","gpt2",0
0.501482967337646,"RC","nosurp",0
0.517869229144,"RC","lstm",0
0.547228438670027,"RC","gpt2",0
0.47124999933388,"RC","nosurp",0
0.484863515135521,"RC","lstm",0
0.44617068947706,"RC","gpt2",0
0.365794413758538,"RC","nosurp",0
0.53228064112245,"RC","lstm",0
0.526946854757333,"RC","gpt2",0
0.463442958017705,"RC","nosurp",0
0.498132341949709,"RC","lstm",0
0.507648756857092,"RC","gpt2",0
0.414786940549899,"RC","nosurp",0
0.598595088012836,"RC","lstm",0
0.601074262823057,"RC","gpt2",0
0.534942140683192,"RC","nosurp",0
0.555130179075156,"RC","lstm",0
0.582474068669215,"RC","gpt2",0
0.576781176332681,"RC","nosurp",0
0.49075075044809,"RC","lstm",0
0.540070056574531,"RC","gpt2",0
0.436893196357779,"RC","nosurp",0
0.611359898993091,"RC","lstm",0
0.619249440448027,"RC","gpt2",0
0.514333644665614,"RC","nosurp",0
0.389522712004287,"RC","lstm",0
0.429253832458115,"RC","gpt2",0
0.336830406811065,"RC","nosurp",0
0.548863362111925,"RC","lstm",0
0.556288881692136,"RC","gpt2",0
0.45641179990354,"RC","nosurp",0
0.544510079240942,"RC","lstm",0
0.54241651459421,"RC","gpt2",0
0.409558770370685,"RC","nosurp",0
0.616512311150348,"RC","lstm",0
0.613278609219447,"RC","gpt2",0
0.57517380569498,"RC","nosurp",0
0.580841616506695,"RC","lstm",0
0.56926880181385,"RC","gpt2",0
0.450121081940132,"RC","nosurp",0
0.475473637747602,"RC","lstm",0
0.46286164827455,"RC","gpt2",0
0.386090743393508,"RC","nosurp",0
0.492890967492883,"RC","lstm",0
0.478395614736914,"RC","gpt2",0
0.370615516824781,"RC","nosurp",0
0.437679825594002,"RC","lstm",0
0.454719836545348,"RC","gpt2",0
0.307766649282602,"RC","nosurp",0
0.479644038128078,"RC","lstm",0
0.516152331700378,"RC","gpt2",0
0.406306264838977,"RC","nosurp",0
0.529359393107027,"RC","lstm",0
0.532279085220146,"RC","gpt2",0
0.473593533261744,"RC","nosurp",0
0.512169881590194,"RC","lstm",0
0.537250811277737,"RC","gpt2",0
0.452731113280067,"RC","nosurp",0
0.546840792091338,"RC","lstm",0
0.492875989486129,"RC","gpt2",0
0.408666166583593,"RC","nosurp",0
0.586423700258836,"RC","lstm",0
0.587926897396044,"RC","gpt2",0
0.479508734129769,"RC","nosurp",0
0.615695515601771,"RC","lstm",0
0.616957137347286,"RC","gpt2",0
0.580895801037939,"RC","nosurp",0
0.453007501118152,"RC","lstm",0
0.478260957905879,"RC","gpt2",0
0.391267188166652,"RC","nosurp",0
0.58724078033964,"RC","lstm",0
0.554288052290052,"RC","gpt2",0
0.547463544782712,"RC","nosurp",0
0.582865239316357,"RC","lstm",0
0.515207812660833,"RC","gpt2",0
0.395466338765777,"RC","nosurp",0
0.350455627056404,"RC","lstm",0
0.379654297299483,"RC","gpt2",0
0.291924473941449,"RC","nosurp",0
0.59546693469361,"RC","lstm",0
0.580804672555084,"RC","gpt2",0
0.521696555064472,"RC","nosurp",0
0.448175118616968,"RC","lstm",0
0.44178785916445,"RC","gpt2",0
0.351060729193553,"RC","nosurp",0
0.519607690613457,"RC","lstm",0
0.534448554571206,"RC","gpt2",0
0.404730417928348,"RC","nosurp",0
0.595489720423421,"RC","lstm",0
0.607850922475625,"RC","gpt2",0
0.508399424719404,"RC","nosurp",0
0.553022301945656,"RC","lstm",0
0.516030433786388,"RC","gpt2",0
0.383201358735835,"RC","nosurp",0
0.559166652221251,"RC","lstm",0
0.577666077453228,"RC","gpt2",0
0.423281209615799,"RC","nosurp",0
0.616331462265216,"RC","lstm",0
0.634878343921281,"RC","gpt2",0
0.583339607903428,"RC","nosurp",0
0.573800209273307,"RC","lstm",0
0.589293110588666,"RC","gpt2",0
0.506392314343995,"RC","nosurp",0
0.575902537435332,"RC","lstm",0
0.5510063856007,"RC","gpt2",0
0.43414826006551,"RC","nosurp",0
0.571207392215033,"RC","lstm",0
0.586402102301226,"RC","gpt2",0
0.429821626889484,"RC","nosurp",0
0.603782764672354,"RC","lstm",0
0.630940003591994,"RC","gpt2",0
0.531581973032541,"RC","nosurp",0
0.646498188413375,"RC","lstm",0
0.625517460810991,"RC","gpt2",0
0.57168457231681,"RC","nosurp",0
0.56464913458299,"RC","lstm",0
0.566874376826871,"RC","gpt2",0
0.514595538762851,"RC","nosurp",0
0.515654909664019,"RC","lstm",0
0.535185784754475,"RC","gpt2",0
0.43679081001006,"RC","nosurp",0
0.51550549863497,"RC","lstm",0
0.528283609238208,"RC","gpt2",0
0.473276852635713,"RC","nosurp",0
0.466802648028252,"RC","lstm",0
0.437796363934517,"RC","gpt2",0
0.388371048092804,"RC","nosurp",0
0.507755633572501,"RC","lstm",0
0.517242403911346,"RC","gpt2",0
0.38924815420321,"RC","nosurp",0
0.49109410305333,"RC","lstm",0
0.522767828684844,"RC","gpt2",0
0.488382025230808,"RC","nosurp",0
0.431553963624775,"RC","lstm",0
0.449978794457683,"RC","gpt2",0
0.395152973870575,"RC","nosurp",0
0.443223822864938,"RC","lstm",0
0.469249419218468,"RC","gpt2",0
0.351177114013957,"RC","nosurp",0
0.43163986208616,"RC","lstm",0
0.449419228408879,"RC","gpt2",0
0.439692941879175,"RC","nosurp",0
0.465856200749378,"RC","lstm",0
0.493024709574017,"RC","gpt2",0
0.35704735084877,"RC","nosurp",0
0.694087033329223,"RC","lstm",0
0.684614233121856,"RC","gpt2",0
0.535326051604109,"RC","nosurp",0
0.459338398945762,"RC","lstm",0
0.422701311395841,"RC","gpt2",0
0.377951693831841,"RC","nosurp",0
0.474915470062656,"RC","lstm",0
0.473823845290844,"RC","gpt2",0
0.402990108752249,"RC","nosurp",0
0.531292006488074,"RC","lstm",0
0.574164513307825,"RC","gpt2",0
0.449853825458437,"RC","nosurp",0
0.434347659575201,"RC","lstm",0
0.470061006754279,"RC","gpt2",0
0.417692276415539,"RC","nosurp",0
0.648316901832661,"RC","lstm",0
0.642804163914033,"RC","gpt2",0
0.479417441731187,"RC","nosurp",0
0.47374818106216,"RC","lstm",0
0.491005655071395,"RC","gpt2",0
0.462812796260269,"RC","nosurp",0
0.526996022577807,"RC","lstm",0
