item,Type,CriticalPosition
1,AGREE_UNG,7
1,AGREE,7
3,AGREE_UNG,7
3,AGREE,7
5,AGREE_UNG,7
5,AGREE,7
6,AGREE_UNG,8
6,AGREE,8
7,AGREE_UNG,7
7,AGREE,7
8,AGREE_UNG,7
8,AGREE,7
9,AGREE_UNG,7
9,AGREE,7
10,AGREE_UNG,8
10,AGREE,8
12,AGREE_UNG,7
12,AGREE,7
14,AGREE_UNG,7
14,AGREE,7
15,AGREE_UNG,7
15,AGREE,7
16,AGREE_UNG,7
16,AGREE,7
17,AGREE_UNG,8
17,AGREE,8
19,AGREE_UNG,8
19,AGREE,8
20,AGREE_UNG,7
20,AGREE,7
21,AGREE_UNG,8
21,AGREE,8
23,AGREE_UNG,7
23,AGREE,7
24,AGREE_UNG,8
24,AGREE,8
1,NPS_UAMB,7
1,NPZ_UAMB,7
1,MVRR_UAMB,8
2,NPS_UAMB,8
2,NPZ_UAMB,8
2,MVRR_UAMB,9
3,NPS_UAMB,7
3,NPZ_UAMB,7
3,MVRR_UAMB,8
4,NPS_UAMB,7
4,NPZ_UAMB,7
4,MVRR_UAMB,8
5,NPS_UAMB,8
5,NPZ_UAMB,8
5,MVRR_UAMB,9
6,NPS_UAMB,7
6,NPZ_UAMB,7
6,MVRR_UAMB,8
7,NPS_UAMB,7
7,NPZ_UAMB,7
7,MVRR_UAMB,8
8,NPS_UAMB,7
8,NPZ_UAMB,7
8,MVRR_UAMB,8
9,NPS_UAMB,7
9,NPZ_UAMB,7
9,MVRR_UAMB,8
10,NPS_UAMB,7
10,NPZ_UAMB,7
10,MVRR_UAMB,8
11,NPS_UAMB,8
11,NPZ_UAMB,8
11,MVRR_UAMB,9
12,NPS_UAMB,8
12,NPZ_UAMB,8
12,MVRR_UAMB,9
13,NPS_UAMB,7
13,NPZ_UAMB,7
13,MVRR_UAMB,8
14,NPS_UAMB,8
14,NPZ_UAMB,8
14,MVRR_UAMB,9
15,NPS_UAMB,7
15,NPZ_UAMB,7
15,MVRR_UAMB,8
16,NPS_UAMB,8
16,NPZ_UAMB,8
16,MVRR_UAMB,9
17,NPS_UAMB,8
17,NPZ_UAMB,8
17,MVRR_UAMB,9
18,NPS_UAMB,7
18,NPZ_UAMB,7
18,MVRR_UAMB,8
19,NPS_UAMB,7
19,NPZ_UAMB,7
19,MVRR_UAMB,8
20,NPS_UAMB,7
20,NPZ_UAMB,7
20,MVRR_UAMB,8
21,NPS_UAMB,7
21,NPZ_UAMB,7
21,MVRR_UAMB,8
22,NPS_UAMB,7
22,NPZ_UAMB,7
22,MVRR_UAMB,8
23,NPS_UAMB,8
23,NPZ_UAMB,8
23,MVRR_UAMB,9
24,NPS_UAMB,8
24,NPZ_UAMB,8
24,MVRR_UAMB,9
1,NPS_AMB,6
1,NPZ_AMB,7
